content,channelName,title
俄罗斯卫星通讯社9月11日报道，土耳其总统发言人卡伦表示，土耳其提出建立联合工作组，以打消美国对土耳其列装俄制S-400防空导弹系统的顾虑，这项建议依然有效。卡伦向记者表示：“我们的建议依然有效：我们愿意为了打消美国S-400系统可能会威胁F-35战斗机的顾虑采取措施。我们相信，这场危机总会得到解决。钱已经支付，我们将履行土方承担的所有义务，建议美国同行继续举行谈判。”卡伦说，美国没有正式通报土耳其已经被取消参与F-35项目的资格。土耳其购买俄制S-400防空导弹系统遭到美国反对，华盛顿以推迟或取消向土方出售F-35战机相威胁，要求土耳其放弃这笔交易，改为购买美国的“爱国者”系统。土耳其拒绝让步，被美国取消参与F-35项目的资格。,军事,土耳其称并未收到通报被取消参与F-35项目资格
据共同社9月11日报道，日本宇宙航空研究开发机构（JAXA）种子岛宇宙中心（鹿儿岛县）的火箭发射台于11日凌晨3点05分前后发生火灾。台上放置有搭载向国际空间站运输物资的JAXA无人货运飞船“鹳”8号机的H2B火箭。三菱重工业公司为确认机体是否受到影响，取消了原定当天早晨6点33分的发射计划，下一次发射窗口期预计最早也要到14日以后。三菱重工称火灾发生在发射台的底部，位于火箭发射时释放火焰和喷烟的孔洞附近。火灾原因正在调查，未发现燃料泄漏。目前已看不到明火和烟雾，但尚不清楚火灾是否已完全扑灭。JAXA称，因火灾导致发射延期尚属首次。去年11月，日本促进民间企业参与太空开发的《宇宙活动法》生效，从此次发射开始，执行责任由JAXA移交给了三菱重工。三菱重工的发射执行负责人、宇宙事业部副事业部长田村笃俊神情严肃地说：“感到责任重大。”“鹳”8号货运飞船原计划运输食品和实验装置等约5.3吨物资。据JAXA称，原定最快14日夜间抵达空间站，但预计会延后。（完）,军事,日本H2B火箭发射在即 发射台却突然发生火灾
"杨金成在仪式上表示，中船集团和泰国海军拥有悠久的合作历史和丰硕的合作成果。自2012年中泰两国建立全面战略合作伙伴关系以来，两国友好关系不断深化，为中船集团和泰国海军开展更广泛、更务实的项目合作奠定了坚实基础。此次协议的签署，标志着中船集团与泰国海军的合作迈上了一个新台阶。中船集团将以先进的设计建造能力、优质的产品质量、高效的保障体系，把这一项目打造成为中船军贸品牌的“精品工程”，树立起中船集团与泰国海军、中泰两国政府、中泰两国人民友好合作的新典范。中船集团总部有关部门和相关成员单位负责人参加仪式。据此前“兵工科技”报道，作为外贸型舰艇,071E综合登陆舰最大的亮点，在于其相对于基本型071综合登陆舰，根据多年来使用的经验教训总结以及潜在外贸客户的需求，又进行了若干重大的改进和升级，从综合性能而言，071E相比咱们目前自用的071型综合登陆舰，在技术上更为先进，综合性能上更为强大。首先，首先是防空导弹的上舰，071最原始的模型展品中，在主炮后是安装有八联装HHQ-7型防空导弹的，可实际服役的时候，该导弹并没有出现，仅仅是预留了相应安装位置。这点也一直被国内相关军事专家指责说：如此有价值的大型舰艇，仅仅靠火炮来抵御来袭导弹吗？而在071E型前主炮后方的平台上，就很显眼的布置了外型神似HQ-10的FL3000近程防空导弹。该导弹速度高、重量轻、反应快速、制导精度高、射程较远、成本低廉，填补了此前我国外贸舰艇中末端反导能力弱的短板。071E外贸型综合登陆舰曾亮相巴基斯坦防务展，是我国海军装备力争出口的拳头产品之一其次是中部上层建筑中，两侧突出了具有切面化的耳台，布置了两门简化版730近防炮。虽然相比自用型上的四座6管30毫米，在数量上减少一半，但是性能却远远超出，该炮是自用的H/PJ-12型7管30毫米舰炮简化版，与F22P型和C28A型护卫舰上的近防火炮完全相同，为了控制成本，火控雷达从炮塔上分离出来单独布置。该舰炮研制于上个世纪九十年代，现列装于中国海军各型驱逐舰和护卫舰上，以全自动工作方式工作，主要由舰炮本体、随动系统、射击控制系统及其他配套设备组成。主要用于拦截反舰导弹和对本舰攻击的飞机、直升机，也可对海面目标实施射击。射速最高可达4200发/分钟，对导弹目标射程2500米，对飞机目标3500米，无弹链式供弹。071E这样的布局形式在射界上具有很多优点，可以拦截前后除极小区域外所有方向来袭的舰舰导弹，算是一个比原型更完善的设计方式。第三，也是最大的变化，就是直升机甲板，原先071型能够同时起飞两架大型直升机，071Ｅ型通过对上层建筑的缩短，可以同时起降三架大中型直升机，位于右舷的大型吊机也缩小了体积。从两栖战发展趋势来看，这点更符合实施超地平线登陆作战理念。071E综合登陆舰的甲板显著加长众所周知，自用版071综合登陆舰配备的快速登陆转运工具，是高速气垫登陆艇，在071E外贸型登陆舰上，中船集团则专门为其研发了一种新概念的、可配套搭载的可变船型双体登陆艇。该艇长32.3米、宽9.6米，展出的模型携带了2辆中型主战坦克，该船也能携带3辆装甲战车。可变船型双体登陆艇的“玄机”在于它可以是一艘平底船，车辆和人员上船方便；但这种船型航行慢，为了提升航速，这艘船纵向中部的船底就设计为可升降模式，航行时变身为一艘在速度上优势明显的双体船，这关键所在，就是两侧船体中间夹着的升降机构。这一概念，与法国为配套西北风级两栖攻击舰而设计的L-CAT快速两栖登陆艇十分相似。可以说是打破了现役登陆舰以气垫登陆艇为主要转运工具的成规，是071E型登陆舰的一大技术创新！与071E综合登陆舰配合的新概念可变形双体登陆艇那么071E作为目前为止我国推出的吨位最大的外贸型舰艇，能否成为我国外贸军舰的新锐？目前在国际上，船坞登陆舰交易越来越红火，许多新兴的海军国家，都瞄准了这一能够大幅提升海军远程兵力投送能力和岛屿争夺能力的“利器”，且不说澳大利亚、土耳其（我国此前曾对其力推过两栖攻击舰方案）这些海军实力较强的国家，就是东南亚一些新兴海军国家，比如马来西亚、印度尼西亚等，也纷纷在寻求购买能够担负多种任务的船坞登陆舰或战略运输舰。许多造船工业强国看准市场蜂拥而至，具备完整配套体系的中国造船工业显然不能缺席。071E的出现，表明中国已经瞄准了这块市场。与外贸对手相比，071E具有三个显著优点，第一是在技术水准上达到世界先进水平，单论综合作战能力而言，与竞争者相比也不落后；第二是071E的原型071综合登陆舰，在我国海军服役多年，是已经得到证明的成熟平台；第三是071E与许多发达国家提供的登陆舰平台相比，在性价比上更具竞争力，可谓物美价廉。综合而言，071E外贸型登陆舰，市场前景十分看好，绝对有机会成为中国外贸军舰的新“爆款”！",军事,071E万吨坞登舰首次出口 这个东南亚国家签约购买
9月11日中国空军官方微博“空军发布”发布了《鹰击长空 为国仗剑》的宣传片，片中重点介绍了中国空军的“辽东雄鹰”部队。视频中介绍，作为一支在改革强军中成长发展的新生空中劲旅，“辽东雄鹰”担当新使命，奋飞新时代。在空军四次对抗空战比武中，他们两次捧得团体第一——“天鹰杯”。视频中还公布中国空军飞行员海上中英文喊话驱离外机影音，“我是中国空军，你即将进入中国领空，立即离开！立即离开！”对于这支“辽东雄鹰”部队，歼-20飞行员白龙评价说：“空军‘红剑’演习对抗空战，是全军实战实训的品牌，我们的新型战机都参加过，两次获得对抗空战比武团体“天鹰杯”的部队，有7名飞行员获得“金头盔”，他们的空战能力和战斗精神，给我们留下深刻印象。我们也很赞同他们常说的一句话，战胜对手比战胜队友更重要，制胜空天才是“金头盔”的金标准。”空军航空兵某旅旅长王永同介绍说：“两次获得空军对抗空战比武第一之后，我们旅思考更多的是，‘第一’离‘打赢’有多远，我们要在实战化训练中强化忧患意识，抓实备战工作，潜心砺剑、昂首亮剑，坚决维护国家主权、安全和发展利益。”片尾中歼-20、轰-6K等空军新锐装备压轴出场，空军的实战化训练正在向高原、山谷和大海、远洋拓展延伸，国家利益拓展到哪里，空军战略能力就延伸到哪里，为国家发展提供可靠的空天安全保障。,军事,空军发布最新宣传片 歼20多机编队座舱视角曝光
特朗普断送了美国的“无间道”？据美国有线电视新闻网(CNN)10日报道，基于对白宫、国会以及情报界多名知情者的采访，美国2017年曾紧急撤回了驻俄“最高级别间谍”，原因竟然是“美国元首”存在重大泄密隐患、令潜伏在“敌后”的谍报人员随时面临被暴露的风险。这名间谍“跑路”后，华盛顿再无替代此人的卧底;总统的“大嘴”或导致美国未来数年对俄谍报工作“大步地后退”。据报道，“间谍跑路”事件的导火索发生在2017年5月：当时特朗普在白宫会见俄罗斯外长拉夫罗夫及时任俄驻美大使基斯利亚克，对俄方官员详细披露了以色列为美国提供的重要情报。这种“出卖队友”的行为威胁到以色列谍报人员的安危，引发美国情报界的高度警觉。事后，美国情报官员开启了对海外卧底人员安全性的风险评估，中央情报局(CIA)的“间谍撤离”行动应运而生。经一番辗转，这名神秘的谍报人员被美国成功“召回”。美国《纽约时报》称，CIA方面早在数十年前就开始“策反”俄政府中层官员，经过多年的“苦心经营”，一名“变节”官员步步高升、成功“打入”克里姆林宫深处。在2016年俄罗斯被控干涉美国大选的风波期间，这位线报更是得到了CIA的空前重视和高度保护。CNN形容，这名美国间谍在被召回前已经是在俄罗斯的“最高级别线报”，他甚至能提供“普京办公桌上的文件资料”图像。而失去这种级别的眼线，美国未来数年的对俄情报工作恐将陷入被动。美国沃克斯新闻网(VOX)推测，美方恐怕至今也未能物色到合格的接替者。CIA前对俄行动部门负责人塞弗慨叹，招募这样的高级别间谍“极度困难”，这种机遇可遇而不可求。VOX称，情报界对于特朗普的担忧其实由来已久：自他就任总统以来，一直致力于改善与俄罗斯的关系;不仅如此，他对于“间谍”这个职业本身也不怎么信任。CIA前官员史蒂文·霍尔曾公开批评称：“我们这位总统和历任有所不同，他会凭自己的喜好处置涉密情报、敏感信息……或公开在推特上，或展示给我们的对手。美国情报界如今身处一片未知领域。”不过，CNN的这篇独家报道遭到了官方否认和媒体同行的一些质疑。美国福克斯新闻网10日报道称，CIA发布紧急声明，谴责CNN“报道错误”，此文纯系“带有误导性的推测”。福克斯称，CNN文章中提及的部分事实和《纽约时报》的版本存在较大出入：根据后者的报道，CIA早在2016年就已经着手进行撤离行动，只不过这名间谍投鼠忌器、不敢轻易行动，这才延误了行程。而在当时，特朗普还尚未就职。《纽约时报》在报道中援引了前情报官员的意见，称“特朗普危及驻俄情报人员”的说法根本没证据;还有官员称，正是美国媒体对该类事件深入挖掘、长期曝光，才迫使情报机构实施“走为上计”。俄罗斯方面否认了“美国从俄罗斯成功撤回间谍”一事。据俄罗斯《观点报》10日报道，对于CNN的这一报道，俄罗斯联邦委员会(议会上院)国防委员会成员克林采维奇表示，这一报道是“公开的假消息”。他称，CNN报道的目的可能是想指责特朗普一些愚蠢的行为对美国整个情报网造成了破坏，也可能是想显示美国在全世界都有自己的眼睛和耳朵，能够掌握他国无法获得的秘密信息。但无论是何种目的，报道内容都是虚假的。俄罗斯《生意人报》10日称，俄罗斯外交部高级消息人士表示，报道中涉及特朗普与俄外长拉夫罗夫会面的内容，完全是CNN的杜撰。虽然美媒没有透露这名间谍的名字，但有俄媒称，所说间谍是俄总统府工作人员斯莫连科夫。他2017年6月与全家一起前往黑山度假，随后在那里消失。俄总统发言人佩斯科夫10日对此作出回应，称美国媒体所说的“美国间谍”斯莫连科夫几年前曾是总统府的工作人员，但已根据内部命令被解雇了，他的职务不属于高级官员，不可能与总统接触。佩斯科夫还称美媒的相关报道是“低俗小说”。美国坊间广泛流传称斯莫连科夫曾供职于俄罗斯驻美大使馆，在2017年偕家人在黑山“神秘失踪”后目前居住在美国华盛顿。近两日，他的住所已经暴露，有媒体记者直接上门拜访。因此，美国白宫方面称，CNN的报道不仅失实，且“置人性命于不顾”。,军事,美媒报道“惊人内幕”：美曾紧急撤回在俄最高间谍
国际原子能机构(IAEA)9日证实，伊朗已安装新的离心机，进一步突破伊核协议的限制。据美国哥伦比亚广播公司等媒体报道，在宣布有关消息前，IAEA代理总干事费卢塔刚对德黑兰进行了为期一天的访问，他于8日会见了伊朗原子能组织主席萨利希和伊朗外长扎里夫。萨利希在会见费卢塔时表示，在美国单方面退出核协议后，欧盟应填补空白，遵守承诺，但他们并没有这么做。伊朗除了逐步退出承诺，能做的不多。9日，费卢塔在IAEA理事会季度会议上表示，IAEA将继续确保和监督伊朗履行核协议下的承诺，继续确保伊朗已申报的核材料不发生转移，以及对伊朗那些未申报的核材料和核活动进行评估。几天前，伊朗原子能组织发言人卡迈勒万迪在德黑兰举行记者发布会，详细介绍从6日开始实施的伊朗减少履行核协议承诺的第三步措施。卡迈勒万迪表示，伊朗已分别往20台IR-4和20台IR-6离心机注入六氟化铀气体燃料。8日，伊朗向IAEA书面告知以上行动。对此，俄罗斯外交部9日发表声明称，从核不扩散的角度来说，伊朗启动以科研为目的的离心机并不会产生任何威胁，重要的是伊朗的所有举动仍处于IAEA监督下。美国则表示伊朗一直在违背核协议，美国务卿蓬佩奥10日指责伊朗“可能有未申报的核活动”。在IAEA证实伊朗安装离心机的同一天，以色列总理内塔尼亚胡指责伊朗秘密研发核武器，但被发现后迅速摧毁了相关设施。对此，伊朗外长扎里夫在推特上回应称，已经拥有核弹的以色列在玩“狼来了”的把戏。,军事,国际原子能机构证实：伊朗已安装新的离心机
美国参谋长联席会议主席邓福德当地时间9日表示，美国已经来到一个新的“卫星时刻”，美军必须为此采取行动，以在太空中保持竞争优势。据美国《空军时报》网站10日报道，在参加于科罗拉多州的彼得森空军基地举行的重启美国太空司令部的仪式上，邓福德将美国总统特朗普重启太空司令部比作肯尼迪总统在苏联于1957年发射首颗卫星，并于1961年开展首次载人太空飞行后要求美国启动太空竞赛之举。“在我看来，说我们正处于另一个‘卫星时刻’并不为过。个中利害甚于上世纪50年代末和上世纪60年代初。”邓福德表示，俄罗斯和中国都更重视太空实力，尽管伊朗和朝鲜的太空实力相对不发达，但仍然对美国构成威胁。他表示，太空司令部不仅对保证竞争优势必不可少，还将对美国的作战能力不可或缺。“我在我的职业生涯初期就得知在一场战斗中占领高地的价值。太空司令部将夺取并扼守高地。”位于阿拉斯加州的相控阵雷达系统太空司令部新任司令雷蒙德在9日的仪式上表示，他希望通过一支能够打赢“宇宙战役”并保持美国“太空独大地位”的部队，在太空阻止一场可能的战争。“我们将发展处于战备状态的太空部队，我们将继承由原太空司令部创设并历经冷战考验的太空作战文化，使之适应当今的战略环境。”这是美国高级官员首次在太空司令部发表争夺太空的言论，不禁引发“美军要打太空战”的联想。保持美国“太空独大”对于美军来说，太空战并不遥远。早在冷战时期，作为“星球大战计划”的一部分，美军曾于1985年设立太空司令部。直到“9·11”袭击后美国开始侧重本土防卫，太空司令部于2002年解散。自特朗普上任以来，美国建立太空军、推动外太空军事化的步伐不断加快。2019年2月，特朗普签署成立美国“太空军”备忘录，五角大楼授命为成立“太空军”制定法律依据。2019年8月29日，特朗普在白宫宣布建立美国太空司令部。特朗普在宣布仪式上强调，太空是美国国家安全和国防的核心，也是美国扩充自身军力的下一个领域，是一个“终极高地”。邓福德和雷蒙德在仪式上握手其实在邓福德出席太空司令部重启仪式之前，美国太空司令部重建后的第一次“施里弗”太空战计算机模拟演习就已拉开帷幕。据美国《科罗拉多斯普林斯新闻报》7日报道，这场小规模兵棋推演由多个美军司令部、盟友和情报机构参与，假设某敌对国2029年在欧洲发动一场“多领域”战争。敌方将传统的陆、海、空作战与太空战和网络战结合起来，试图通过多领域行动实现多个战略目标。这次军演也是对美国太空司令部的第一次考验。俄媒：“美国破坏外太空条约”邓福德曾透露，太空司令部成立后，将领导87个单位，处理包括导弹预警、卫星监视、太空控制和支援等任务。美军在新闻简报中披露，太空司令部职能包括为美军地面部队的卫星导航和即时通信提供技术和安全保障，保护美国在太空轨道中的资产，防止他国对美国卫星进行破坏，并对他国导弹发射等活动进行监测预警。美国太空司令部的一份报告称，美国必须认识到，太空将很快成为推动国家政治、经济和军事力量发展的主要引擎。报告建议美国制定一项长期的、全国性的国家太空战略，以确保继续领导太空，对抗来自他国的挑战。英国路透社10日援引美国战略与国际研究中心航空航天安全项目主任托德·哈里森的话评论称，美军高层对保证美国在太空领域处于领先地位信心十足，但美国众议院和参议院的立法者似乎还有颇多疑问。《科罗拉多斯普林斯公报》评论称，目前加利福尼亚州、阿拉巴马州和佛罗里达州都正试图从科罗拉多州手中夺取太空司令部总部“落户地”，太空司令部仍然存在诸多不确定性。针对美军高层以遏制太空战为名升级太空军事力量，俄罗斯军事专家嗤之以鼻。俄罗斯《消息报》9日报道称，俄罗斯军事专家德米特里·罗季奥诺夫表示，正是美国拒绝中俄等国提出的禁止在外太空部署武器协议，准备在太空部署大规模杀伤武器，从而展开外太空竞争。“也许美国人认为，自己应当在太空占据优势地位，其他国家都不应与其竞争。”目前没有一个国家在太空部署武器，因为太空军事化是一件非常危险的事情。但现在美国正准备将太空军事化，特朗普宣布成立太空司令部就是很好的证明。美国却又指责俄中等国与其在太空展开竞争。美国破坏了现有的国际安全体系，下一步美国将破坏外太空条约。▲,军事,美军高层猛夸太空司令部 俄军事专家嗤之以鼻
国产发动机的进展向来是中国航空航天爱好者们最关注的话题。在10日举行的第18届北京国际航空展（北京航展）新闻发布会上，《环球时报》记者获悉，本届北京航展将重点推出多种航空发动机的最新进展。在发布会上，来自中国商用飞机有限责任公司、中国航空发动机集团、中国航空学会、北京华进公司等主办单位相关领导对本届航展的筹备情况、亮点内容做详细介绍。据介绍，本届北京航展将于9月18日至20日在国家会议中心举办。今年是北京航展的第35年，作为我国首个举办的综合型、贸易类专业航空展，自1984举办至今，始终以服务航空航天事业共赢发展为初衷，践行引进国际先进技术，推动国内外产业合作的使命与职责。随着航空航天产业升级，并基于时代与行业发展需求，北京航展顺势而为，在既有的制造和维修两大板块基础上，加强了在产业链上游基础工业领域的发掘力度，尤其在材料、部件、工艺等方面，并特别设立航空发动机及燃气轮机、民机材料、高温合金、增材制造等展区，让展示内容相通相连，协同发展，继续发挥北京航展的品牌优势，依托北京不可替代的区位优势和行业资源优势，协同专业展览举办主题论坛，采用“会-展联动”模式，形成产品与技术相结合、理论与实践相结合的互动效应，稳固并提升“北京航展--航空航天新技术新产品发布平台”的行业定位。本届航展展览规模1.7万平方米，共邀请来自12个国家和地区的210多家展商参展，展会同期举办5场主题论坛，涉及商业航天、航空发动机、高温合金、民机材料、增材制造等专业领域。由中国工程院机械与运载工程学部、中国科协航空发动机产学联合体、中国航空发动机集团有限公司科学技术委员会主办，中国航空发动机研究院、北京华进公司承办的第二届国际航空发动机论坛，更加凸显国际化水平，会聚GE、RR、P&W等全球知名航空发动机制造商，搭建航空发动机领域权威的技术交流与合作平台。同时，2019中国民机材料产业发展高峰论坛、2019中国高温合金产业高峰论坛、2019中国商用飞机增材制造技术与应用论坛、2019地月空间经济高峰论坛等专业会议也将在展览期间举办，邀请千位国内外行业精英、专家学者会聚北京，从科技、学术等方面为行业发展献计献策，打造高端权威盛会。,军事,今年北京航展发动机是重头戏 将展示多种航发进展
2019年9月10日上午，中国航空发动机集团有限公司新闻中心主任张利文(前排右二)在第十八届北京国际航空展新闻发布会上介绍集团参展情况。 杨铁虎 摄记者9月10日从第十八届北京国际航空展新闻发布会上获悉，中国航空发动机集团有限公司将在9月18日-20日举办的2019北京航展上展出AEF50E涡扇发动机。这是一款出口型无人机用发动机，主要用于高空高速图像侦察或察打一体无人机，也可用于其他无人机系统。据悉，作为新成立的军工央企，此次是中国航空发动机集团有限公司继2017年第十七届北京航展之后，第二次作为主办单位参加，将充分展示集团成立3年来的最新成果。北京国际航空展是中国举办的第一个国际性航空航天展会，也是惟一一个得到国家批准、每逢奇数年的9月在首都北京举行的综合性大型航空业盛会，致力于搭建“航空航天新技术、新产品发布与合作平台”。自1983年首次筹办以来，已经成功举办了17届。(完),军事,中国航发AEF50E军贸航空发动机将亮相北京航展
(返回母港的“奥林匹亚”号攻击核潜艇) 据“防务博客”网站9月9日报道，美国海军于9月8日宣布，一艘“洛杉矶”级攻击核潜艇“奥林匹亚”号(SSN-717)在完成了环球部署后返回了其母港珍珠港。报道称，“奥林匹亚”号进行了为期七个月的部署，目的是为了“支持美国与盟友以及伙伴的海上安全行动”以及“确保在大国竞争时代具有高级作战能力”。据报道，在部署期间，“奥林匹亚”号攻击核潜艇先后对苏达湾、希腊以及直布罗陀进行了港口访问。其中，在访问直布罗陀期间，一批英国议会成员参观了“奥林匹亚”号，英国皇家海军特拉法加级攻击核潜艇“天才”号(HMS Talent)也派出艇员与“奥林匹亚”号的艇员进行了橄榄球、足球和排球友谊赛。在访问苏达湾期间，“奥林匹亚”号进行了一次武器装载以验证其作战能力。报道称，此次西太平洋部署的完成，是“奥林匹亚”号攻击核潜艇前往华盛顿布雷默顿进行退役前的最后一次部署。“奥林匹亚”号的环球航行从夏威夷瓦胡岛开始，在七个月的时间里先后经过了巴拿马运河，直布罗陀海峡和苏伊士运河。“奥林匹亚”号是第29艘“洛杉矶”级攻击核潜艇。该艇于1981年3月31日开始铺设龙骨，1984年11月17日开始服役，至今已服役35年。,军事,美海军奥林匹亚号核潜艇完成环球部署后即将退役
