content,channelName,title
3月18日，由中国房地产TOP10研究组主办的“2021中国房地产百强企业研究成果发布会暨第十八届中国房地产百强企业家峰会”在北京召开。蓝光发展(600466.SH)第15次、连续14年上榜中国房地产综合实力百强，荣膺“中国房地产百强企业”称号，位列第21位。此外，蓝光跻身百强房企成长性TOP10，高居第4位。中国房地产TOP10研究组自2004年以来开展中国房地产百强企业研究，已连续进行了十八年。研究组紧随行业发展脉搏，深入研究房地产企业经营规律，为促进行业良性运行、企业快速成长发挥了重要作用，相关研究成果已成为评判房地产企业经营实力及行业地位的重要依据。践行长期主义，实现高质量发展蓝光投资控股集团有限公司(以下简称蓝光控股集团)成立于1990年，下辖390余家控股、参股企业。产业布局覆盖地产、数字建造、现代服务业、互联网科技、饮品等业务板块。2015年，蓝光控股集团旗下四川蓝光发展股份有限公司(以下简称蓝光发展，600466.SH)在上海证券交易所完成重组上市。2019年，蓝光发展正式入驻上海运营总部，形成“上海+成都”双总部发展格局。在战略规划上，蓝光发展应用新经济思维和逻辑，坚持“产业为本、资本为助力、科技化赋能”，以机制、人才为核心驱动力；坚持“中而强，稳健前行，利润与规模并重，实现高质量增长”战略方针，以生意的逻辑、从容面对市场，穿越行业周期。在产业布局上，蓝光发展高度聚焦住宅地产开发，资本运作与实业经营相结合，打造数字建造等成长性新兴产业，按协同化、市场化、资本化、科技化路径运作。住宅地产开发是蓝光发展的核心优势产业，蓝光的投资布局与国家城市群建设规划高度契合，坚持实施“聚焦高价值区域投资、聚焦改善型住宅产品”的发展战略。截至2020年12月，蓝光全国布局十大区域，已成功进驻80余座城市，开发超过400个项目，业主数量逾100万人。2020年，正值蓝光成立30周年，蓝光在企业的十四五规划中提出了长期主义的战略构想。蓝光控股集团董事局主席、蓝光发展董事长杨铿表示，要坚定梦想与长远的思考，十年磨一剑，坚持数字化改革创新，提升管理能力与执行力；长期主义就是踏踏实实，勤勤恳恳，兢兢业业，聚焦主业，深度把握，不断学习，不断改进，实现战略目标；要以工匠精神专注、精益、创新地把业务做到极致。蓝光发展首席执行官迟峰表示：蓝光长期主义的本质是做到好团队、好体系、好产品、好服务，让公司有更好更长期的发展；蓝光的长期主义要从精益管理和数字变革入手；蓝光的16字方针“精准投资、卓越运营、财务引领、变革创新”就是对公司长期主义战略的解法。全新品牌定位 做“温度人居时代的引领者”2020年9月3日，由蓝光发展主办的“共创温度人居时代——2020中国房地产行业的变革趋势与实践”跨界思想交流会在上海举办。大会上，多名业内外专家通过主题演讲和圆桌沙龙的形式，聚焦“温度人居”进行了充分研讨。2020年9月，蓝光发展与中国指数研究院联合发布了《2020中国温度人居发展白皮书》，推出了温度人居的“一体两翼三维”评价模型，诠释新时代的人居理念。同时，蓝光发展正式发布新品牌定位为：温度人居时代的引领者。未来蓝光发展将持续推动“温度人居”的标准和理念成为行业的共识。这也是蓝光基于自身进入千亿之上新阶段，高质量发展的新要求。特别是在此次疫情中，蓝光凭借在健康人居领域的研发经验，基于参与编制健康住宅、智慧住宅行业标准的视角，升级推出了“蓝卫士”4 大安全生活体系，在很多项目落地实施，进一步彰显温度人居的产品理念。精益管理 数字科技助力企业转型蓝光发展凭借敏锐的市场嗅觉，早在2016年开始数字化转型，并持续进行科技化创新，在AIoT智能人居平台、智慧住宅与社区、智慧营销、智慧办公等项目上取得了有目共睹的成绩。蓝光在智慧住宅与社区领域也有着不可小觑的行业知名度。蓝光五维AI智慧社区包括AI通行、AI安防、AI关怀、AI管理、AI服务5个维度，给予业主全身心、全生活周期的呵护。智能梯控、刷脸畅行、老幼关爱防走失等30多项智能生活场景，成为了许多业主选择蓝光的助攻神器。为了让业主提前感知智慧社区的魅力，蓝光在众多示范区部署了智慧社区体验系统，既赋予示范区科技感，又让客户身临其境感知智慧社区的模样。蓝光智慧营销平台由蓝朋友、智慧案场、天眼防飞单、ACRM、大开盘等系统组成，与蓝光AIoT平台连接，实现对客、数据分析、案场管控、渠道拓客等业务的数字化支撑。全民营销“蓝朋友”APP在疫情期间，实现一周迅速上线，推出多个项目的线上全民营销活动，让客户足不出户看房、选房、荐房、购房。2021年是蓝光创业的第二个三十年起帆之年，是蓝光十四五规划开局之年。蓝光将践行长期主义，聚焦全面精益管理，全面数字科技，开启蓝光新战略，引领温度人居时代，实现持续高质量增长。,房产,蓝光发展荣膺“中国房地产百强企业”TOP21
(经济观察)恒大、世贸等物管公司业绩大增 中国房企竞逐“新赛道”中新社北京3月16日电 (记者 庞无忌)2020年，多家从房地产开发传统业务中分拆出来的物业管理企业业绩大增。3月16日，恒大物业发布上市后首份年报称，2020年实现营业收入105.09亿元(人民币，下同)，同比增长43.31%；净利润26.47亿元，同比大增184.32%。恒大物业业绩大幅增长，得益于规模的高速增长。截至2020年底，该公司在管面积达3亿平方米，同比增长26.05%；业务范围扩展至中国290个城市，覆盖220.7万户业主。除恒大外，近期发布2020年年报的世贸服务、融创服务、新城悦服务等拥有大型开发商背景的物业管理公司大都出现在管面积大幅增长，利润高速或稳健增长的情形。以世贸服务为例，2020年，世茂服务在管面积约为1.46亿平方米，同比增长114.4%。2020年，世茂服务实现收入约50.26亿元，同比增长约101.9%；净利润为8.97亿元，同比增长约72.1%，三年期间复合增长率122.7%。截至2020年底，融创服务在管建筑面积达到1.35亿平方米，同比增长155.1%。同期，新城悦服务在管建筑面积约为1.01亿平方米，合约建筑面积约为2.03亿平方米，同比增长分别为68.6%和33%。加速收并购是物业企业扩张的重要方式。在16日举办的业绩发布会上，恒大物业管理层透露，今年仅两个月时间便完成外拓及并购新增在管面积约1.1亿平方米，截至2月28日公司总在管面积达4.13亿平方米，合约面积6.79亿平方米，已完成全年6亿平方米在管面积目标的68.8%。未来三年，公司力争在管面积复合增长率将不低于50%。今年以来，恒大物业加速扩张，立下年内要新增拓展在管面积超3.6亿平方米，净利润超39亿元的“军令状”。世茂服务总裁、执行董事叶明杰也在此前的业绩会上表示，未来三年世贸服务将继续实现五倍增长。世茂服务2020年收购9家公司，包括北京冠城酒店物业、浙大新宇、福晟生活服务等多元业态物管公司，通过收并购新增合约面积约7100万平米，占比总新增合约面积约71%。近年来，房地产开发企业扎堆进军物业领域。特别是在2020年出台的重点房企融资管理新规(业内称“三道红线”)下，房企迫切降负债。而拆分物业上市后，房企可增加账面资金，改善负债指标。碧桂园、保利、中海、招商蛇口、恒大、世贸、融创等大型房企先后完成物业分拆上市。业内认为，物业发展空间广阔是房企纷纷选择这一“赛道”的重要原因。根据中指研究院此前发布的一份报告预测，2024年全国物业管理面积将达到311亿平方米，市场增速迅猛、资源充足。依托房地产开发企业的项目储备，物业公司也能得到快速的发展。此番恒大物业管理层表示，大股东恒大集团后备资源充足，住宅、商写、旧改等储备总面积2亿-3亿平方米。2020年恒大集团销售面积为8085.6万平方米，每年有大量优质项目持续稳健交付，为物业企业的扩张发展提供基础。中指研究院物业事业部副总经理牛晓娟在接受中新社记者采访时表示，物业行业一直以来只是房地产开发商的一部分业务，但是近几年来物业管理部门纷纷独立出来分拆上市。这证明整体地产业看好物业这一赛道。资本市场的表现也印证了这一点：港股整体的市盈率较低，但是物业上市企业的平均市盈率却相对较高，物业的市盈率经常数倍于传统地产公司。而且，牛晓娟表示，房地产行业目前达成一个普遍共识，那就是房地产的下一个阶段就是提供以物业为代表的社区服务，这也解释了开发企业对物业公司的重视。(完),房产,恒大、世贸等物管公司业绩大增 中国房企竞逐“新赛道”
客户端北京3月5日电 (左宇坤) “随着女性经济独立性的提升，越来越多的女性开始成为买房市场中的中坚群体，女性置业趋势逐年上升。”58同城、安居客5日发布的《2021年女性置业报告》显示，超八成的受访女性有五年内购房计划，女性购房者看房时对主卧及客厅更关注。报告对一线及新一线城市中20岁以上女性群体进行的调研显示，相比往年，女性置业意愿正在逐年加强。有82%的受访女性计划在5年内置业，其中打算今年买房的女性占比14%，近四成女性打算两年内买房。至于买房的钱，报告指出，不同于以往“父母交首付，子女还贷款”这一年轻人买房的普遍模式，如今有近2成的受访女性准备自己独立购房，有半数受访女性表示需要和另一半共同出资买房，约三成女性表示需要父母支持一部分资金。另，从历年数据来看，越来越多的女性表示在购房过程中能起到决定性作用。报告显示，购房过程中，82.3%的受访女性表示自己起决定作用。而在2018年时，仅有65.2%的女性表示自己是购房决策人。而在涉及产权证署名问题上，30.2%的受访女性表示房产证上一定要有自己的名字，57.9%的受访女性表示要有双方的名字。同时，报告指出，女性在买房时，也开始展现出了自己的“买房哲学”。她们对房子的追求不再仅只是满足单纯的居住功能，而是更加追求品质和居住的改善。如，挑选房源时，选择户型和房屋质量的女性占比排在最前两位，选择价格、环境地段、交通、开发商品牌的占比也超过40%。对于房屋的内部空间，主卧及客厅更受女性购房者的关注，占比均超过70%；选择卫生间和厨房的女性占比也超过50%。此外，报告称，随着时代的变迁，90后女性开始表现出更为包容的心态，与公婆同住成为新的居住形态。近六成受访的90后女性不介意婚后与公婆同住。(完),房产,报告：女性置业趋势逐年上升，看房更关注客厅主卧
客户端北京3月2日电(左宇坤)2021年开年，本是楼市传统淡季的2月，受“就地过年”倡导以及多数售楼处春节“不打烊”影响，各大开发商新春活动不断，楼市表现与往年相比较为活跃。中指研究院统计数据显示，2021年1-2月，TOP100房企销售额均值为183.6亿元，增长率均值为136.2%。销售额破千亿房企2家，百亿以上房企52家，较去年同期增加18家。52家房企销售额破百亿，碧桂园、万科超千亿今年以来，虽然多地发布调控政策给市场降温，但房企业绩依然高歌猛进。“就地过年”号召下，一二线城市迎来“就地买房”的新行情；同时，随着线上购房的兴起和折扣力度的增加，部分热点二线省会城市和三四线城市也迎来了一波“返乡置业潮”。中指研究院统计数据显示，2021年1-2月，TOP100房企销售额均值为183.6亿元，同比增长率均值为136.2%，与2019年同期124.2亿相比增长47.8%。销售额百亿以上房企52家，较去年同期增加18家；销售额破千亿房企2家，为碧桂园和万科。“增速较高不是市场过热，是市场正常恢复。”中指研究院企业事业部研究副总监刘水指出，前两月份业绩增速较高，主要是去年疫情因素影响，2020年2月份疫情防控，房地产销售基本停滞。三季度以后，同比增长数据才具有实际参考价值。值得注意的是，百强房企的上榜门槛也同步提高至33.2亿元，同比去年大幅增长169.9%，较2019年同比增长69.9%，前十的门槛已经高达343亿元。中指研究院分析认为，整体来看，各大房企春节期间利用线上渠道展开促销活动，不仅提高了线上互动，还设置专属优惠来推动线上渠道的交易，助力春节期间成交放量，加速现金回笼。百城2月房价微涨，预计3月热点城市调控继续收紧由于春节行情的走高，百城房价也迎来小幅上涨，但房价涨幅开始逐步收窄。根据中国房地产指数系统对100个城市的全样本调查，2021年2月，全国百城新建住宅均价15884元/平方米，环比上涨0.20%，涨幅较上月收窄0.17个百分点；百城二手住宅均价15585元/平方米，环比上涨0.28%，涨幅较上月收窄0.04个百分点。中指研究院指数事业部研究总监曹晶晶分析称，今年2月恰逢春节假期，多数房企调整供货节奏，受“就地过年”倡导以及多数售楼处春节期间“不打烊”影响，部分重点城市购房需求有所释放，楼市表现与往年相比较为活跃。但在调控密集出台的影响下，2月百城房价涨幅有所收窄。“2月以来，上海、深圳、东莞等地的调控政策继续出台，堵漏洞、控金融、打炒作，尤其是深圳二手房参考价格机制落地，在全国首次对二手房的价格形成直接干预。22城不断落地的土地‘两集中’，推动了金融侧和土地侧的长效机制双重落地，对于市场的影响则更为深入和长远。”58安居客房产研究院分院院长张波总结道。接下来楼市行情又会如何？张波预计，一季度之后，总体市场热度环比下降的态势将不断显现，尤其是部分前期热度过高的板块可能将迎来房价回调，楼市的稳定性将得到进一步加强。“3月为春节后首月，预计房企推盘节奏将明显加快，市场供应将增加，百城新建住宅价格或保持稳中有涨态势，但在‘房住不炒’定位下，部分热点城市楼市政策或存继续收紧可能。”曹晶晶表示。(完),房产,房企新年“开门红”，前两月52家销售额超百亿
客户端北京3月2日电 (左宇坤)近日，58同城、安居客发布2021年《2月国民安居指数报告》显示，2月正值春节假期，全国找房热度环比下行3.8%，一线、二线城市找房热度环比下降，三四线城市找房热度逆势上涨2.8%。报告称，随着返城人群的回归，预计3月份找房热度会有所回升。58同城、安居客购房者行为信息显示，购房者信心指数2月达117.5，环比上涨7.7%；2021年2月经纪人信心指数为113.7，环比上涨1.8%。58同城、安居客监测显示，2月67城新房在线均价为16392元/㎡，环比下跌0.08%。城市新房房价环比涨幅前五的城市分别为南宁、长春、厦门、昆明和扬州。新房找房活跃城市排行前六的分别为汕头、衡阳、舟山、济宁、九江和漳州，其中汕头找房热度环比涨幅最高，达到18.8%。二手房方面，2月全国67个主要城市二手房挂牌均价为16011元/㎡，环比上涨0.93%。北京、深圳、上海二手房挂牌均价依旧稳定在5万元/㎡以上。东莞、衡阳、西安、济宁和南宁二手房挂牌均价环比涨幅较大。报告称，56%的经纪人认为，楼市调控会继续以抑制房价上涨；也有60%的购房者认为2021年调控力度将继续加大以抑制房价上涨。58安居客房产研究院分院院长张波表示，2月以来，上海、深圳、东莞等地的调控政策继续出台，堵漏洞、控金融、打炒作，尤其是深圳二手房参考价格机制落地，在全国首次对二手房的价格形成直接干预。22城不断落地的土地“两集中”，推动了金融侧和土地侧的长效机制双重落地，对于市场的影响则更为深入和长远。在此背景下，热点城市2月楼市的成交量环比出现一定降幅，地价稳定、房价稳定有了更精准抓手。“预计一季度之后，总体市场热度环比下降的态势将不断显现，尤其是部分前期热度过高的板块可能将迎来房价回调，楼市的稳定性将得到进一步加强。”张波说。(完),房产,报告：预计3月份找房热度会有所回升
海口2月5日电 (记者 王子谦)记者5日从海南省住房城乡建设暨党风廉政建设工作电视电话会议上了解到，今年海南将推动构建以公租房、保障性租赁住房和共有产权住房为主体的自贸港住房保障体系，加快补齐租赁住房短板。海南省住房和城乡建设厅厅长霍巨燃介绍，2020年海南住房保障水平稳步提高。目前该省安居型商品住房建设有序推进，全年已开工建设10个项目、9756套；全年棚改实际开工7054套；建成2044套，计划完成率202.8%；全年公租房实际开工2949套、开工率100%，发放租赁补贴10980户，完成率213.6%。在人才住房保障服务方面，海南进一步完善人才公寓保障模式，全年发放住房补贴1.07万人次，累计筹集人才住房房源约2.64万套。霍巨燃表示，今年海南将继续加大住房保障力度，提升群众居住质量和水平，推动解决本土居民和外来人才住房问题。他介绍，今年海南将结合自贸港建设实际，计划完成3.5万套安居型商品房建设任务，计划实施棚户区改造3045套，计划开工建设公租房243套、发放住房租赁补贴8204户。(完),房产,海南推动构建自贸港住房保障体系
北京2月2日电 (记者 于立霄)针对部分长租公寓出现“长收短付”“高进低出”等违规行为导致爆雷事件频发，北京2日出台新规，内容包括限制住房租赁企业预收租金数额、禁止“长收短付”经营模式等。北京市住房和城乡建设委员会、市场监督管理局、金融局等五部门联合印发《关于规范北京市住房租赁企业经营活动的通知》(简称《通知》)，从限制资金池、强化开业信息报送、加强租赁合同管理、细化装修规定、建立租赁纠纷调解机制、强化联合监管等方面，全面强化对分散式长租公寓企业经营活动的监管，防范住房租赁行业经营风险，切实维护首都百姓住房租赁消费合法权益。《通知》将于3月1日起实施。限制住房租赁企业“资金池”是新规的核心内容。《通知》明确规定，向租客预收的租金数额不能超过3个月租金，收付的租金周期应当匹配。《通知》明确提出，要严控“租金贷”拨付对象，银行业金融机构、小额贷款公司等不能将租客申请的“租金贷”资金拨付给住房租赁企业。在押金方面，《通知》要求，住房租赁企业收取的押金数额不得超过1个月租金。企业收取押金后，必须通过北京房地产中介行业协会(简称协会)建立的专用账户托管，企业不能擅自动用和挪用。《通知》还明确了押金退还的期限和流程，规定企业应在合同终止2个工作日内通知协会退还押金，协会将在1个工作日内将押金及同期存款利息退还承租人。在租赁合同方面，《通知》要求，住房租赁企业使用北京住房租赁合同示范文本，并在签订承租或出租房屋合同3日内在北京市住房租赁监管平台备案，对未如实备案的企业将限制其通过互联网发布房源信息。在租赁房屋装修方面，《通知》规定，住房租赁企业出资对租赁住房进行装修的，须取得房屋产权人书面同意；住房租赁企业提前解除合同的，不得收取装修费用。北京市房地产法学会副会长兼秘书长赵秀池表示，部分长租公寓企业通过“租金贷”“长收短付”等方式形成的“资金池”，是导致爆雷的“罪魁祸首”。“在租客端被过度金融化的情况下，一旦市场发生波动或企业经营管理不善，极易发生资金链断裂的情况，从而导致房主房客两端受损。”赵秀池认为，新规针对这个问题，提出了一系列针对性很强的监管措施，将有效促进市场健康平稳发展，切实保护租赁各方当事人，特别是承租人的合法权益。北京大学房地产法研究中心主任楼建波表示，近些年，住房租赁行业经历了快速发展过程，市场在发展中也暴露出不少新情况、新问题。楼建波认为，此次北京出台的新规是在行业经历快速发展、企业探索试错、市场波动以及总结经验做法后，提出了一系列有针对性的监管措施，这为长租公寓行业发展指明了方向，为住房租赁企业今后的经营行为画出了边界。(完),房产,北京新规：住房租赁企业预收租金不得超3个月
重磅！北京长租公寓监管新规来了，“租金贷”只能拨付给个人频繁“爆雷”的长租公寓，迎来了监管新规。2月2日，北京市住建委、市市场监管局、市金融局、市委网信办、北京银保监局联合印发《关于规范本市住房租赁企业经营活动的通知》，首次明确禁止“长收短付”，严控“租金贷”拨付对象，承租人申请的“租金贷”资金不得拨付给住房租赁企业，只能拨付给个人。新规将于2021年3月1日起正式实施。亮点1：“租金贷”只能拨付给个人以分期月付租金更便宜的噱头，鼓励租客申请“租金贷”，从而一次性从银行或小贷机构获取12个月的租金，再按月或季度向房东支付租金，一进一出之间，一个无形的资金池就形成了。池内的资金本应只用于支付租金，可也有长租公寓运营商玩起期限错配，比如将资金用于向房东收房，持续扩大市场规模，可一旦经营受阻，“8个瓶盖盖10个瓶”，就会出现资金链紧张甚至断裂。缺乏监管的“租金贷”和资金池，是长租公寓频繁“爆雷”的深层次原因，也是新规的核心内容。通知明确，住房租赁企业向承租人预收的租金数额原则上不得超过3个月租金，收、付租金周期必须匹配；收取的押金数额不得超过1个月租金，且应当通过北京房地产中介行业协会建立的专用账户托管；严控“租金贷”拨付对象，银行业金融机构、小额贷款公司等机构不得将承租人申请的“租金贷”资金拨付给住房租赁企业。“租客申请了住房租赁贷款后，放贷机构可以把贷款发放给租客，也可以签订协议后直接发放给房东，但不能发放给住房租赁企业，及其关联企业或利益相关方。”市住建委相关负责人介绍，此前已经预收的超过3个月的租金部分和存量“租金贷”，租赁企业要建立专户逐步化解；已经预收的押金，也要一并纳入专用账户托管，押金托管的具体方式和流程后续还会出台配套细则。亮点2：不得强制收取装修费用“租赁到期了，当初交的押金却不给退。”“不降价就解约，装修家具费要5万。”租赁纠纷的发生，影响着承租人的安居。针对承租人和房东的槽点，新规也开出了“药方”。通知提出，住房租赁企业应当使用本市住房租赁合同示范文本，用示范文本避免因霸王条款、约定不明引发后续纠纷，并在签订承租或出租房屋合同3日内将合同信息在北京市住房租赁监管平台备案，未如实备案的企业将限制其通过互联网发布房源信息。其次，住房租赁企业出资对租赁住房进行装修的，应当取得房屋产权人书面同意。住房租赁企业提前解除合同的，应依据合同约定履行各方责任，不得强制收取装修费用。在押金退还上，通知也明确，住房租赁企业应于合同终止后2个工作日内通知北京房地产中介行业协会退还押金，北京房地产中介行业协会应在1个工作日内将押金的本金和同期存款利息退还给承租人。亮点3:情节严重将进行风险警示“长租公寓要规范发展，但需要重申的是，大力发展住房租赁市场的政策主基调依然没有变。”市住建委相关负责人也表示，北京将继续支持专业化、规模化住房租赁企业持有房屋并依法出租，符合条件的住房租赁企业可以按规定享受税收、金融等优惠政策。当然，对于绝不改正者，各部门也将加强联合监管。通知规定，住房租赁服务企业存在违法违规行为较多的，由市住建部门列入重点关注名单并向社会公布，提示谨慎选择；情节严重的列入风险警示名单并向社会公布，警示重大风险；根据住建部门的意见，市场监管部门依法依规责令有关主体停止发布相关广告。网络信息平台未履行核验发布主体和房源信息责任的，网信部门可根据住房城乡建设部门意见，依法对其相关业务采取整顿措施。,房产,北京长租公寓监管新规出台 “租金贷”只能拨付给个人
中新社北京2月1日电 (记者 庞无忌)中指研究院企业事业部研究副总监刘水2月1日在一场房地产形势分析会上表示，中国房企2021年开年销售业绩大增。万科、碧桂园、恒大三家龙头房企单月销售额均超过600亿元(人民币，下同)。中指研究院当日发布的数据显示，1月份销售额排名前100位的房企销售额均值97.9亿元，增长率均值为112.0%。销售额破百亿元房企29家，较去年同期增加15家；销售破50亿元的房企53家，较去年同期增加18家。三家龙头房企销售强劲。据该机构监测，2021年首月，万科销售额逾700亿元，碧桂园和恒大均超过600亿元。申万宏源研究日前发布的报告反映出类似趋势。该报告显示，1月份，内地50家主流房企销售金额合计8046亿元，同比上涨68%，增速较上月加快38个百分点。据该机构监测，50家房企销售同比继续保持稳增，并连续9个月实现两位数以上增长。对于1月份房企业绩保持较高增速的原因，刘水指出，这并不意味着市场整体过热，而是楼市正常恢复的体现。刘水认为，1月份房企业绩增速较高，主要是季节性和疫情因素影响，2020年1月份受春节和疫情防控的双重影响，销售基数较低。事实上，三季度以后，同比增长数据才具有实际参考价值。此外，2021年房企面临大规模的债券到期，借新还旧压力较大。1月份不少房企抓住融资成本较低的窗口期密集发债。据中指研究院统计，1月份，房地产信用债发行规模为546.1亿元，环比增长73.28%；内地房企海外债发行规模为811.2亿元，环比大增464.5%。(完),房产,中国房企1月销售“开门红” 三大龙头企业均超600亿元
长沙2月1日电(记者 傅煜)过去一年，湖南省会长沙因长期徘徊低位的房价频受关注：房地产调控的“长沙样本”入选中国改革十大年度案例；房地产调控经验获中国住建部发文“点赞”并向全国推介，深圳、东莞等沿海城市纷纷前来取经……相较房价涨势，长沙的经济增势却十分强劲。日前举行的长沙两会上，长沙市市长郑建新在政府工作报告中透露，过去五年，长沙经济总量实现历史性跨越，迈入“万亿俱乐部”，综合实力位居中国省会城市前列。其中2020年GDP预计增长4.5%，经济恢复增长走在全国前列。未来五年，长沙将发力打造“国家重要先进制造业、具有核心竞争力的科技创新、内陆地区改革开放的高地”。中国指数研究院数据显示，到2019年底，在中国17个经济规模过万亿元人民币城市中，长沙房价最低；2020年6月“百城价格指数”，长沙新建住宅均价位于省会城市后位和中部省会城市末位。作为房价“洼地”，对外宣称坚决摆脱“土地财政”依赖的长沙，经济增长的主要驱动力在哪？建设三大“高地”有何潜力？“链”上先进制造业是引擎之一。近年来，长沙着眼22条产业链建设，以一系列举措持续推动制造业高质量发展。面对疫情对产业链带来的冲击，长沙直面变局，以“三智一芯”(智能装备、智能汽车、智能终端和功率芯片)产业为主攻方向，全力向产业基础高级化、产业链现代化攻坚。2020年中欧班列(长沙)开行量创新高，全年共开行528列，同比增长28.47%。鲁毅 摄在智能化改造加持下，长沙工程机械产业加速蝶变，成为全球唯一同时拥有4家世界工程机械50强企业的城市；开通中国首条开放道路环境下的智慧公交示范线、发放中国首批智能网联汽车试运营示范通知书、开发中国首个智慧共享出行示范项目……通过构建涵盖人工智能算法、大数据、无人驾驶车辆等的完整产业链条，长沙智能网联汽车产业异军突起，跻身国内第一方阵。做大“生意圈”，提升开放水平是引擎之二。疫情影响下，长沙产业链建设形成的强大优势，让一批外贸龙头稳住海外订单，向世界展示长沙制造的魅力。2020年，长沙实现进出口总额2300亿元，同比增长15%。积极开拓新兴市场，去年前11月，长沙实现对东盟贸易额增长53.7%，对欧盟增长7.8%。新年伊始，72家企业集中入驻中非经贸合作促进创新示范园，湖南自贸试验区长沙片区建设打响“第一炮”。根据《中国(湖南)自由贸易试验区总体方案》，长沙片区将重点打造全球高端装备制造业基地、内陆地区高端现代服务业中心、中非经贸深度合作先行区和中部地区崛起增长极。这一新引擎将为长沙开放型经济发展蓄能。值得一提的是，房价“洼地”也在一定程度上助力长沙打造发展“高地”。长沙市副市长刘明理曾对媒体表示，长沙房价收入比保持在6.4左右，为全国50个典型城市最低，有效降低了创业、就业成本。近4年，长沙年均净流入人口24万左右，一批先进制造业优势企业纷纷在此落户。“低房价优势成为长沙吸引人才、壮大产业的‘利器’和持续发展比较优势。”(完),房产,“链”上先进制造业 长沙发力三大“高地”
