content,channelName,title
人民网北京12月31日电 今年是中央军委机关事务管理总局红星幼儿园（黄寺园）建园80周年，该园前身是1940年创建于延安的中央托儿所。无论是革命战争年代，还是和平建设时期，在80年的历程中，该园始终传承红色基因、紧跟时代步伐，把哺育革命后代、培育时代新人，作为崇高使命责任。在血与火的洗礼中，幼儿园辗转数千里，被称为“马背上的摇篮”。图为红星幼儿园（黄寺园）园史馆内“马背摇篮”雕塑前，老师向孩子们讲述从延安向西柏坡转移的“摇篮”故事。汪巍/摄中央广播电视总台央视少儿频道《大手牵小手》栏目组日前来到中央军委机关事务管理总局红星幼儿园（黄寺园），录制“红星照耀我成长”建园80周年文艺节目展演。(责编：孙竞、申亚欣),教育,把“马背摇篮”的故事讲给孩子听
近日，河北、辽宁、江苏、福建、湖北、湖南、广东、重庆公布2021年普通高校招生考试安排和录取工作实施方案。这八个省市作为全国第三批高考综合改革省市，将在2021年高考实行“3+1+2”模式，包括国家统一高考语文（汉语）、数学、外语（含笔试和听力）3门科目，及考生自主选择的普通高中学业水平选择性考试3门科目。选择性考试科目包括物理、历史、化学、生物学、思想政治、地理6门科目，考生首先在历史、物理2门科目中自主选择1门作为首选考试科目，再在化学、生物学、思想政治、地理4门科目中自主选择2门作为再选考试科目。这种区别于传统的文理分科增大了考生的选择面。其中，语文、数学、外语3门使用全国卷，考试时间为2021年6月7日至8日；物理、历史、化学、地理、思想政治、生物6门由各省市组织命题，考试时间为2021年6月8日至9日。语文科目考试时长为150分钟，数学、外语科目考试时长均为120分钟，选择性考试科目每科考试时长均为75分钟。新高考考生成绩计算方式也跟之前有所不同。考生高考文化总成绩为750分，语文、数学、外语每门满分150分，选择性考试科目每门满分100分，统一高考科目和首选考试科目按原始成绩计入总成绩，再选科目思想政治、地理、化学、生物则按等级赋分后计入总成绩。实行等级赋分，主要是基于学生选考的科目不同、各科目试题难度不同等原因，以解决选考科目的原始分不具有可比性的问题，这样既保证了公平性，也可以缩小学科难度不同造成的分数差异。记者发现，新高考在志愿填报上以“院校专业组”为志愿填报单位，1所院校将拆分若干院校专业组，1个院校专业组即为1个志愿，为考生提供了更多选择，如江苏省本科批次设40个院校专业组志愿，河北省普通类考生每次最多可填报96个志愿。传统志愿设置以一所学校为一个志愿单位，而“院校专业组”则是一所学校加一个专业为一个志愿单位，将每一个志愿细化到了专业或专业类，高校可以对每个具体专业提出选考科目要求。为确保2021年新高考平稳落地，部分省市将于2021年1月至4月举行新高考适应性演练，具体考试时间安排为2021年1月23日至25日，演练将从考试组织、评卷到招生计划编制、志愿填报等环节进行全流程模拟，帮助考生了解新高考的试题风格，熟悉录取规则。适应性演练属于模拟测试，模拟录取结果将不向考生公布。（记者 董淑云）(责编：李依环、熊旭),教育,“3+1+2”模式、等级赋分是啥？一图看懂八省市新高考实施方案
原标题：骗术升级 看看伪招聘的新套路新华社北京12月29日电 想为简历“贴金”却高价办了“山寨”证书；追求高薪工作却陷入“美容贷”骗局；加入“兼职群”却上了当，甚至成了电信网络诈骗帮凶……记者调查发现，一些不法分子盯上急于找工作的年轻人，通过各种手段非法牟利，为刚刚步入社会的菜鸟设置了诸多陷阱。记者调查发现，招聘骗局中一些骗术不但迷惑性大、链条长，还让人越陷越深……虚构政府网站，颁发“山寨”证书，套牢投机取巧的人。疫情期间，正在找工作的刘先生接到电话，称可以帮助找工作，但刘先生资质较浅，建议办一张国家住建部门认可的“全国建筑工程专业”认证报告，而且这份证书还能在“官方网站”上查询验真。听说报名费300元，通过审核后再交7500元“入库注册费”，审核未通过退还报名费，刘先生便报了名。几天后，工作人员告知他审核通过，为刘先生颁发了证书。而在刘先生应聘时却被告知，根本不存在这个证书，找工作没有任何作用。记者了解到，全国有上千名像刘先生一样的当事人上当。5月，北京市公安局丰台分局将嫌疑人杜某某等19人抓获，涉案金额近千万元。记者发现，这个所谓的“官网”域名为“www.cncpi.cn”，不但使用了国旗、国徽以及相关领导人照片、讲话文章、政策法规，还专门设有“查询入口”。又如，以“兼职”为由骗人入群。记者在一个微信群中看到，有人以免费领取电饭煲为名义拉人入群，并发送兼职广告，称为某些电商平台刷单，而记者根据提示操作后，却发现所谓的“兼职”是在一个名为“玖彩网”的app中跟投下注。记者在一些投诉网站上看到，不少人反映本想兼职赚钱，却“误入”此类的“彩票”网站，一开始可以提现，但随着投入大到几万、十几万之后便发现不能再提现。更可悲的是，遭遇招工美容贷骗局后反被“拐”入团伙。毕业后的李女士收到“招聘总经理助理，月薪8万元”的信息，就参加了招聘。“面试官说条件符合，只是形象欠佳，需要做微整形手术，入职后手术费用能报销。”李女士说，在贷款10万元做了整形后，咨询入职事宜时却被百般糊弄，还欠下高额债务。记者了解到，北京警方今年打掉招工美容贷诈骗团伙10余个。办案民警告诉记者，有的受骗女子因为无力偿还贷款，还被“拐”入团伙当“托儿”，伙同其他成员欺骗其他女孩。套取信息 相互勾结 施骗更“精准”收取上岗培训费、服装费等招聘惯用的诈骗方式已是老套路了，现在，骗术升级，诈骗者施骗更“精准”了。丰台公安分局刑侦支队民警赵雷告诉记者，在“假证书”案件中，嫌疑人事先冒充建筑公司在招聘网站中发布招聘信息，接受应聘者的简历，随后再以可以办证的名义给投简历的事主打电话，与“广撒网”相比大大提升了“成功率”。据一位业内人士称，招聘平台上企业数量较多，虽然会审核基本的经营执照、招聘信息内容等，但企业数量太多，而且实际运营状况、招人动机等不可能全部了解，有些不法分子甚至注册了正常的公司，但在平台上发布招聘信息是为了套取简历。此外，部分社交软件群组中还存在倒卖简历的情况，那些除了姓名、性别、联系方式等信息外还包括了微信号、居住地、工作单位、工作经历、教育经历、期望薪资等详细信息的简历售价近20元一份。不法分子还利用年轻人没有积蓄的特点，通过骗局引诱贷款。在招工美容贷的套路中，医美诊所与网贷app公司便是合作关系，在一名自称是负责贷款审核员的男子“帮助”下，当事人伪造工作信息申请贷款。办案民警说，一旦产生了纠纷，网贷app也会“喊冤”说借款人提供假信息，把责任转嫁给受害人。记者采访发现，由于一些小额贷款app对申请信息审核不严，放款快、利息高，不法分子便引诱当事人进行贷款。一位遭遇过兼职刷单类骗局的受害人告诉记者，在其前期已经被骗2万多元、手头已经没钱的情况下，群里的联系人推荐她在小贷app上贷款5万元，这笔钱也打了水漂。齐抓共管、提高防范意识方能破解骗术根据相关机构此前发布的信息，互联网招聘市场规模快速增长，而涉及招聘类的诈骗黑色产业规模也日趋扩大。受访人士表示，相关部门要不断严厉打击各类违法违规行为，依法查处发布虚假招聘广告、提供虚假招聘信息、以担保等名义收取押金财物、以招聘为名牟取不正当利益、未经许可擅自从事职业中介等违法活动。中国政法大学传播法研究中心副主任朱巍认为，网络平台理应负有主管责任，对于在平台上发布招聘信息的用户，平台要起到监管责任；如加强事前审核，核实发布者信息的真实性，强化事中、事后的监管与惩治，对于发布不实信息、利用网络平台实行诈骗的，要依据情况做出处罚，或是注销、拉入黑名单等，对于发现涉嫌违法犯罪的，要移交相关部门处理。受访者还认为，求职者要尽可能多了解应聘公司及应聘岗位信息，对于工作内容、条件、地点、劳动报酬等关键信息无法提供或含糊其词的，应聘者应提高警惕。同时，在求职过程中，应妥善保存招聘信息、聊天记录、邮件往来记录等证据，这样，在发生纠纷时，才能依法保护自身权益。（记者鲁畅）(责编：李依环、熊旭),教育,骗术升级 看看伪招聘的新套路
原标题：力破“四唯”，建立“多维”科研评价体系“论文、职称、学历、奖项”是科技人才评价体系中的重要指标。很长一段时间，以此四项为导向的科技人才评价体系推动了中国科学技术的发展。但是，唯此四项的机械作法，却逐渐发展演变为科研工作的羁绊和科研人员的包袱，饱受诟病。近年来，我国持续深化科技体制改革，完善科研评价机制，力破“四唯”。有关部门先后印发指导性文件，建立健全以创新能力、质量、贡献为导向的“多维”科研评价体系，形成并实施有利于科技人才潜心研究和致力创新的评价制度，使科研工作者能够轻装减负上阵，凝神聚力创新。人是现代化建设的主体，也是科技创新的核心要素。只有不断改善人才发展环境、激发人才创造活力，才能加快科技创新的步伐，助力现代化强国建设。党的十九届五中全会提出，坚持创新在我国现代化建设全局中的核心地位，把科技自立自强作为国家发展的战略支撑。2020年的中央经济工作会议明确将强化国家战略科技力量摆在未来各项工作的首位。我们即将开启全面建设社会主义现代化国家的新征程。站在特殊的历史节点，面对中国科技发展新的历史定位，相信国家的科技体制改革会持续深化，科研评价体系会更加完善，科技人才的创新活力会不断被激发。蓝图已经绘就，奋进正当其时。中国科研工作者有能力、有信心通过自主创新赶超世界科技前沿，为中国现代化建设提供坚实的科技支撑。（作者系中国科学院中国现代化研究中心副研究员；记者张亚雄采访整理）(责编：李依环、熊旭),教育,力破“四唯”，建立“多维”科研评价体系
锦绣学校是贵州省毕节市黔西县今年为易地扶贫搬迁新建的学校，该校学生全部来自锦绣花都易地扶贫搬迁户。在建校后的首个元旦前夕，该校组织新年联欢会、剪纸、歌舞表演、运动游戏等活动，让搬出大山的孩子在欢乐祥和的气氛中迎接新年。图为12月30日，贵州省毕节市黔西县锦绣学校的学生在参加运动游戏。新华社发（范晖摄）(责编：李依环、熊旭),教育,贵州毕节：新学校中接新年
"实习期间,常乐在做新闻解说。常乐收到的口罩和月饼。王昕怡正在阅读。周磊摄郑乐心做志愿者的环保慈善商店。2020年是不寻常的一年。对身在世界各地的中国留学生来说，他们从未想到，席卷全球的新冠肺炎疫情，从线下转至线上的教学模式，各国推出的防控疫情政策……发生在这一年的这些大事件，会和自己相关。面对疫情时的焦虑担忧到调整适应，上网课时的措手不及到有序投入，隔离在家的孤独无措到安排丰富，对家人的担忧到伸出援手的奉献担当……每位中国留学生在2020年都有着独属自己的成长经历。新的一年，正如本版一位海外学子作者所言：“2021年也许依然不易，但我们会一直牢记为什么而来的初心使命，在出国留学的路上毅然前行。”坚守初心，做理想中的新闻人新年将至，莫斯科换上了银装。然而，却看不到往年在红场集市上迎接新年时的人潮熙攘与灯火辉煌。在克里姆林宫起伏悠长的钟声里，只有鸽子依旧在绕着瓦西里大教堂的穹顶飞翔，它们也许在向这尤为艰难的一年道别。俄罗斯依旧蔓延着的疫情之下，似乎只有大自然在遵循规律地变换着。于我而言，今年的莫斯科时光就像一泓平静的流水，将近9个月隔离在家的日子里，我缺失了往日的社会活动，连本该有的时间节点也在日复一日的线上课程里悄然淡去，让人难以察觉斗转星移，春去冬来。直到年末，才惊觉时间已逝。遗憾的是，不知这样的生活还将持续多久。尽管俄罗斯的新冠肺炎疫情一波未平，一波又起，但我仍选择留在俄罗斯，照常完成我在这里的最后一年学业。莫斯科的疫情从3月始，一直到8月才呈现下降趋势。原本，我的莫斯科大学新闻系的老师同学都期待着9月疫情好转，正常开学，不料却事与愿违。本该在大四进行为期两个月实地新闻机构实习的我们，最终只能在线上定期做小组研讨。没有了3年以来紧锣密鼓的课业忙碌与新闻实践，也没有了与俄罗斯同学面对面日常交流的机会，面临毕业，与导师联系只能依靠视频通话和WhatsAPP。这段时间也许是我整个大学最迷茫的时期，也是我常怀念原先学习生活的时期，但我更愿意说，2020年仍是我内心最为充实的一年。这段迷茫的时光之所以充实，是因为在这些日子里，我有了更多的时间自我思考，在不断阅读的同时也在不断写作，与志同道合的朋友们促膝长谈，更加明晰了留学归国后的职业选择与规划。与此同时，我并没有因为疫情隔离而倦怠消沉――我按原有的计划为申请研究生做准备，积极乐观地寻求着一切可能提升自己的机会，关注疫情之下世界各国人民的生活，参与俄罗斯新闻业界人员的培训课，担任系内线上杂志中俄特别合刊主编，收获了俄罗斯塔斯社与“今日俄罗斯”电视台的宝贵实习机会，目前正式进入“今日俄罗斯”工作。正如康德所说，我们越是忙碌，越能强烈地感受到我们是活着，越能意识到我们生命的存在。在看似平静如流水的2020年，实则隐藏着的是为梦想而忙碌拼搏的心。但毋庸置疑的是，在我们为自己所热爱的事业奋力追寻的路上，少不了一路关心与陪伴我们的守护人。在俄罗斯第一波疫情严峻时，中国驻俄罗斯大使张汉晖在线对话在俄中国留学生，仅隔了一天，我们就收到了学联志愿者上门发放的健康包。之后，我也加入了第二批、第三批健康包分发的志愿者队伍。我观察到，派送给我们的物资越来越丰富：医用口罩、连花清瘟胶囊、N95口罩、维C、香囊……在我所记录下的照片里，一些帮室友代领健康包的同学，甚至拖着行李箱来装物资。2020年中国国庆节适逢中秋节，我作为留俄学生代表之一有幸参加了在中国驻俄罗斯大使馆举办的见面会，那次收到的健康包里还有月饼。与祖国身隔千里，情感却只在方寸。留学生们共克时艰固然不易，然而，祖国的关心惦念却温暖有力。一条条晒健康包的朋友圈，点亮了我们这群直至今日还依然坚守海外的留俄学子的生活。2020年即将过去，对于海外学子而言，学业之路并非周道如砥，但物换星移终不敌坚守初心。“一切都是瞬息，一切都会过去”，我们在这最好的年纪，一切还未定型，一切犹可创造。希望2021年的新年钟声敲响之时，当我们回望这过去一年的日子，仍能在烦恼中忆出快乐，在乏味中感受希望，在心之所向中，抓住人生最闪光的回忆。（作者系俄罗斯莫斯科大学留学生）我刚刚开始的博士生涯2020年是不平凡的一年。回首这一年，我们很多人都会感慨良多，因为经历了太多的不易和艰辛。这一年恰逢我人生的转折之年，我选择了再次出国深造，赴新西兰奥克兰理工大学攻读传播学博士。年初，突如其来的新冠肺炎疫情恰似狂风骤雨考验着毫无心理准备的我们。我依然按照原定的计划，2月3日决然选择出发，去追逐实现我的博士梦想。在奥克兰，经历了14天的居家隔离后，开始了我的博士生涯。疫情改变了我的生活方式，同样也改变了我的学习方式。原本博士一年级的研修课程被从课堂搬到了线上，和导师面对面的例会变成了线上会议，和办公室其他研究者的探讨交流机会也明显减少。庆幸的是，在这艰难的一年里，无论是身边的师友，还是远隔重洋的亲人，都在提醒我坚定学习的初心，帮助我不断成长，并使我顺利地完成了第一年的学业。在这期间，家人的鼓励、朋友的陪伴、老师的支持，都成为我战胜寂寞、克服困难的动力。疫情期间，博士生伙伴们自发成立了网络学习小组，远程学习，共同陪伴；我的两位博士生导师也经常关心我的学习情况和心理状态，亦师亦友；家人时常嘘寒问暖的视频连线，更是给了我极大的安全感和归属感。2020年是充实的一年，博士生活带给我新的机遇与挑战。博士生涯是甘苦酝酿的过程，是研磨一杯杯回味无穷的咖啡的过程，是一个个眼泪和心血凝结而成的结果。每一篇文献综述、每一次与导师讨论、每一个学术会议交流，都成了我成长中的小积淀。我无数次问自己，读博士学的究竟是什么？读博的过程告诉我，是学习大千世界的智慧和知识，掌握批判性思维、独立思考的能力，具备透过现象看本质的逻辑缜密性。人生路漫漫，我的博士生涯也只是其中的一小部分，而这部分才刚刚开始。这一年，我一直都在与时间赛跑，与困难博弈，斩获了不菲的成果：博士开题报告顺利通过，多次参加国际传媒论坛，发表了多篇学术演讲及会议论文。作为一个刚刚迈入学术圈的新人，我还有幸受邀担任了多家国外学术杂志的审稿人，评审国外同行文章，相互学习，共同成长。这些辛苦求索得来的成果，也给了我一次次积极的心理暗示。这一年，我的收获不仅仅来自于学业，还有业余生活的丰富多彩。新西兰疫情相对稳定后，凭借着个人的兴趣和经验，我选择了兼职钢琴老师、幼儿园乐高老师和商场柜姐3份工作来充实我的业余生活。我的业余工作不仅让我结交了博士群体之外的朋友，也使我对于文化教育差异有了更深刻的认识。比如，新西兰的幼儿园会从小就开始对孩子进行挫折教育，提高孩子的抗挫力。我还通过参加新西兰教育局的直播活动，使更多的新西兰人看到了一名中国博士生的学术坚持、求知情怀和人文关怀。所有这一切艰难曲折的经历，都给我带来不同的体验，成为我人生中的宝贵财富。“月明闻杜宇，南北总关心。”置身海外，疫情下的我们时常感动于家乡和领事馆寄送来的口罩等防疫物品，感受到祖国的支持和关怀，也更深切地体会到，爱国是一种怎样深沉的情感和力量！天道酬勤，人生不设限。逐梦的日子感到充实，有梦的未来更值得期许。勇于尝试新鲜的东西，积极开拓未知的领域，这就是留学生出国求知的初心。留学经历让我们拥有更宽广的视野、更开阔的胸襟，同时也邂逅更多元、更前瞻的科技、文化。留学是机遇，更是挑战，不仅是为了求知，更是选择一种不一样的人生经历，真正学会独立生活、学习和思考。2021年也许依然不易，但我们会一直牢记为什么而来的初心使命，在出国留学的路上毅然前行。展望未来，当心怀希望，逐梦前行，奏出人生精彩华章。（作者系新西兰奥克兰理工大学博士生）2020年，我们见证了太多的风云变幻，也经历了太多伤痛、忧虑和感动。回想这一年开始时，我刚结束寒假，从国内返回英国继续学业。那时我怎么也不会想到，在这短短的1年内，世界各地的人们的生活将会发生翻天覆地的改变。春节刚刚过去，我还对接下来的大学生活有许多憧憬，期待着开始新学期的学校项目，并准备利用暑假的时间回国实习。然而，随着新冠肺炎疫情的暴发，我的生活在一阵漩涡般的迷茫后似乎就此停滞不前了。随着疫情席卷全球，学校开始取消大型活动，教学逐步被转移到了线上，期末考试也随之取消。4月，英国开始“封城”，口罩和洗手液供应紧缺，人们在超市争相抢购各种食品和物资。与此同时，有留学生开始仓促准备回国……在短短几个月的时间里，国内外的疫情形势发生了置换，我也变成了被家人牵挂的对象。暑假开始后，时间的概念好像开始模糊。由于校园关闭、外出受到限制，我有大量的时间都是在宿舍度过。几位中国舍友早已先后回国，独自一人在家，我只好靠看书和电影来打发时间，每天一次外出散步，每周去超市采购两三次生活物资。在日复一日的重复中，还好有家人和朋友的远程陪伴帮我度过了这段漫长的时光。在那段时间里，我收到了许多来自高中老师和同学的问候，也主动联系了很多许久不曾联络的朋友，约好等疫情结束后重聚。虽然大家天各一方，彼此间的距离却好像更近了。7月，一年时间已经过半，在经历了3个月的“封城”后，英国逐步开始复工。街边的店铺、餐厅、咖啡馆和电影院又重新开始迎接顾客。这时，我收到了宿舍附近一家环保慈善商店的订阅邮件，他们因为人手紧缺正在招募志愿者。本着试一试的心态，我回复了邮件，随后正式加入了他们的团队。没有想到的是，这段志愿经历成为我下半年生活中最珍贵的体验。经历了几轮培训和线上会议后，我开始每周前往店铺值班，主要负责上货和收银工作。这家商店由爱丁堡当地一个慈善环保组织运营，致力于推广零浪费的生活方式，在疫情之前他们经常会在店内举办环保工作坊和交流活动。开始志愿工作后，我结识了许多热衷于环保事业的新朋友，他们有的是学生，有的是年迈的老人，但每个人都有一颗包容、善良的心。在他们的陪伴下，每周几个小时的值班总是充满了欢声笑语。在此期间，我还发挥了自己的一技之长，为店铺拍摄剪辑了几支宣传视频，受到了大家的好评，令我十分开心。虽然志愿工作中有大量的体力劳动，常常一站就是一下午，还要一直配戴口罩，但是我还是很开心自己能够参与其中，因为如果没有这每周一次的“调节剂”，我平时在家几乎接触不到任何人。9月开学后，生活逐渐忙了起来，学校的课程仍然全部采用线上教学，但图书馆和一些教学楼已经开放。11月，我赶在英国疫情再度反弹前回到了国内，但其中的过程也是一波三折。从爱丁堡到伦敦再到上海，出发前家人一直在为核酸检测的结果担心，机场又人满为患，我在8个小时的漫长等待后终于坐上了飞机。好在两周的隔离很快过去，终于能和亲人朋友团聚时，我才发现，这是我离家最久的一年。2020年，我经历了太多无奈和失落，有太多无法完成的心愿和遗憾，但对我而言，这也是成长和反思的一年。刚刚进入20岁，我第一次参与志愿工作，第一次一个人搬家，第一次参加实习，也第一次沉下心来思考自己的未来。独处的时光让我反思了许多过去的经历和决定，让我明白了什么是真正重要的东西。虽然即将到来的2021年依然充满了太多的变数和不确定性，在亲人和朋友的陪伴下，我相信自己能够坦然迎接生活中无法避免的变化，并作出于心无愧的决定。当然，也希望疫情能早日结束。（作者系英国爱丁堡大学留学生）“数据库”、黄金海岸和照相机对陈亦舟来说，在澳大利亚昆士兰大学1年的留学生活在转眼间便结束了。前些日子，他完成本学期的课程并结束了期末考试后回到了国内。这一年，由于受新冠肺炎疫情影响，陈亦舟的学期课程多在网上进行。在他看来，将学习主战场由学校转至家里，排课时间更加灵活，也为他节省了很多通勤成本。",教育,展望新年，海外学子的心愿清单
人民网北京12月30日电 （记者孙竞）据教育部网站消息，近期个别社会组织未经审批违规开展面向中小学生竞赛，个别校外培训机构以竞赛名次可以与升学挂钩为“噱头”，违规开展相关培训。为此，国务院教育督导委员会办公室今天发布重要提醒：面向中小学生的全国性竞赛活动需审批才能举办，任何竞赛奖项均不与基础教育阶段招生入学挂钩。广大家长和中小学生务必提高警惕，避免上当。据了解，面向中小学生的全国性竞赛活动实行清单制管理，每年更新。2020年8月，教育部印发了《关于公布2020―2021学年面向中小学生的全国性竞赛活动的通知》，公布了审核通过的35项竞赛信息。凡未在清单上的所谓全国性竞赛，均为违规竞赛。同时，《教育部办公厅关于进一步加强面向中小学生的全国性竞赛活动管理工作的通知》（教基厅函〔2020〕21号）明确，任何竞赛奖项均不作为基础教育阶段招生入学加分依据。国务院教育督导委员会办公室表示，请广大家长和社会各界根据各地教育部门公布的举报方式，参与监督，共同维护良好的管理秩序。(责编：孙竞、申亚欣),教育,教育部：未在清单上的全国性竞赛均为违规竞赛
人民网北京12月30日电 （记者孙竞）国务院教育督导委员会办公室今天发布关于三起校外培训机构违规开展培训查处情况的通报。通报中称，近期部分校外培训机构出现针对初、高中在校生开展全日制培训，在职教师到培训机构兼职，化学实验导致学生烧伤，课堂播放电视剧等严重违法违规问题，影响十分恶劣。国务院教育督导委员会办公室要求，针对一些机构违反国家法律法规和政策开展培训的问题，各地要高度重视，采取有力措施严肃查处，着力完善长效机制，切实巩固治理成果。一是要加强日常排查监管。要结合实际对培训机构进行经常性排查抽查，重点排查无证培训、开展全日制培训、聘用中小学在职教师等违法违规行为。严肃查处违法违规培训机构，直至吊销办学许可证和营业执照。严肃处理中小学在职教师到培训机构兼职，直至吊销教师资格证。排查和处理情况要及时通报全省（区、市），以儆效尤。二是要严格学生学籍管理。要利用“中小学生学籍信息管理系统”加强学籍管理，严格遵循“人籍一致，籍随人走”原则，在规定的时限内，及时处理入学、转学、升学、休学、复学和信息更新等相关业务。严查人籍分离、空挂学籍、学籍造假、学籍业务办理不及时等问题，坚决防止办理虚假休学手续实际在外借读或参加全日制违规培训。三是要强化社会共同监督。要管好用好“全国中小学生校外培训机构管理服务平台”，及时录入更新培训机构信息，公布黑白名单，方便群众选择合规机构和投诉机构违规培训行为。要关心群众诉求，及时处理人民群众对违规培训的投诉，协调有关各方，形成工作合力，共同推进校外培训规范发展。(责编：孙竞、申亚欣),教育,国务院教育督导办通报三起培训机构违规开展培训查处情况
人民网北京12月30日电 （记者孙竞）28日下午，首届全国高校教师教学创新大赛天津赛区启动会在天津大学举办。大赛旨在“推动教学创新，打造一流课程”，通过比赛加强示范引领，打造教学改革风向标，加快造就一支政治素养过硬、业务能力精湛、育人水平高超的创新型的教师队伍。天津大学党委常委、副校长巩金龙表示，全国高校教师教学创新大赛是在教育部高教司指导下、中国高教学会主办下的又一次高水平、高质量、高标准的重大赛事。天津大学将全力以赴做好赛事的组织服务，将大赛办出特色、办出水平，切实推动高校教师教学创新水平往深处走、往实里去。天津市教委副主任白海力指出，天津赛区是全国首个组织教师教学创新大赛启动会的赛区。教师教学是串连一流课程、一流专业和一流教材的关键因素，首届全国高校教师创新大赛为提升教师教学创新能力、打造一流课程提供了交流平台。他希望比赛能够体现新思想、新理念、新模式、新成效。中国高等教育学会事业发展部主任吴英策谈到，新时代高等教育的深刻变革对教师队伍建设和教学能力发展提出了新的更高要求。教学创新大赛为教师提升教学能力提供平台，引导教师形成卓越教学的价值追求和自觉行动。对于天津赛区的组织和实施，他希望：一是坚持挺纪在前，规范办赛，确保比赛公平、公正、公开；二是鼓励更多的教学名师、知名教授参赛，引导更多的教师潜心教书育人；三是希望天津赛区可以做成标杆，成为全国各赛区争相学习的榜样；四是积极建言献策，希望天津赛区及时总结赛事经验，收集参赛教师反馈，为全国赛和今后的赛事提供宝贵的经验和建议。据悉 ，天津赛区比赛将分为校赛、市赛预赛、市赛决赛三个阶段，并于近期陆续开展。(责编：孙竞、申亚欣),教育,首届全国高校教师教学创新大赛天津赛区启动
原标题：北京将加快中小学学校建设 到2025年新增学位约16万个北京将多渠道增加学位资源供给。其中，将加快中小学学校建设，到2025年，北京新建、改扩建和接收居住区教育配套中小学150所左右，完成后新增学位16万个左右。这是北京市委教育工委副书记、市教委新闻发言人李奕在今天举行的一场发布会上介绍的。他表示，“十三五”时期，北京累计增加学前教育学位23万个，有效缓解了入园难、入园贵问题。在“资源优质”和“机会优质”上同时发力，使老百姓在家门口就能上好学校，有效破解择校难题，小学、初中的就近入学比例均达到99%以上，中考中招选择机会更为丰富，民众满意度不断提高。谈到“十四五”时期如何进一步增加基础教育学位供给时，李奕表示，从数量方面，主要是多渠道增加学位资源供给。北京将加快中小学学校建设，到2025年，全市新建、改扩建和接收居住区教育配套中小学150所左右，完成后新增学位16万个左右。同时，支持学校整合校内空间资源，通过各类教室复合利用，增加学位数量。统筹区域内职业教育、校外教育等资源，积极用于补充中小学学位缺口。指导各区收回出租、出借教育用地和校舍用于补充学位。加强学区内、学校间的资源共享，充分提高学位资源利用效率。此外，综合考虑小学、初中、高中入学高峰的动态变化，建立各学段用地用房腾挪调配机制，优先保障学位紧张学段的需求，应对不同时期的入学高峰。除了数量增长，北京更加关注质量提升。李奕表示，北京将加强优质教育资源市级统筹，在北京城市副中心、“三城一区”、大兴国际机场临空经济区等重点功能区和人才聚集区，规划建设17所左右优质中小学学校，建成后提供优质中小学学位5万个左右。统筹推进城乡义务教育一体化改革发展，继续加大城区优质基础教育资源向郊区辐射力度。他指出，北京将完善学区化治理体系，科学划分学区范围，实现学区内教育教学协同推进、优势互补。健全集团化办学机制，加大场地设施资源和优质课程教学资源的统筹力度，帮扶薄弱学校和农村学校提高办学水平。巩固高校、教科研部门、民办教育机构等资源支持中小学发展成果。支持高校和科研院所建设附中附小。李奕强调，“十四五”时期，将进一步形成学校、家庭、社会教育的统筹协调，落实“五育并举”，深化教育供给侧改革，放管服相结合，释放办学活力，为孩子成长提供更丰富的资源和成长空间，大幅提高人才培养的质量。他称，将大力发展数字教育，努力构建新技术环境下的人才培养、教育服务和教育治理新模式，以新技术激发教育活力，培育教育发展新动能。目前，北京地区有34所高校、162个学科进入“双一流”建设名单，北京高校A+类学科数量占全国的44%。李奕表示，将深化教育评价改革、构建更加科学高效的教育治理体系上实现更大突破。坚持破立并举、统筹兼顾，坚决克服唯分数、唯升学、唯文凭、唯论文、唯帽子“五唯”顽瘴痼疾，构建首都特色鲜明的科学评价机制。（记者 杜燕）(责编：李依环、熊旭),教育,北京将加快中小学学校建设 到2025年新增学位约16万个
