content,channelName,title
“十四五”时期我国可再生能源发展将进入新阶段新华社北京3月30日电(记者刘羊旸)国家能源局新能源和可再生能源司司长李创军30日在国新办发布会上表示，“十四五”时期我国可再生能源发展将进入一个新阶段，呈现出四个特征：一是大规模发展。在“十三五”基础上，“十四五”期间可再生能源年均装机规模将有大幅度提升，到“十四五”末可再生能源的发电装机占我国电力总装机的比例将超过50%。二是高比例发展。可再生能源在能源消费中的占比将持续提升，到“十四五”末，预计可再生能源在一次能源消费增量中的比重将超过50%，可再生能源将从能源电力消费增量的补充，变为能源电力消费增量的主体。三是市场化发展。从今年开始风电、光伏发展将进入平价阶段，摆脱对财政补贴的依赖，实现市场化发展。四是高质量发展。“十四五”期间将提升新能源消纳和存储能力，既实现可再生能源大规模开发，又实现高水平消纳利用，更加有力保障电力可靠稳定供应，实现高质量发展。国家能源局电力司司长黄学农表示，我国将大力提升电力系统的灵活调节能力。在发电侧，加强火电灵活性改造，包括推动抽水蓄能电站、天然气调峰电站的建设。在电网侧，加大基础设施建设，提升资源优化配置能力，特别要发挥大电网资源互济的作用。在用户侧，推进终端电能替代，提高需求侧响应能力。,科技,“十四五”时期中国可再生能源发展将进入新阶段
北京3月30日电 (记者 王恩博)中国海洋石油集团有限公司(下称“中国海油”)30日对外宣布，渤海油田正式启动“新优快”钻完井创新工程，通过技术创新节省油田开发工期与成本，为我国海洋石油工业增储上产、保障国家能源安全奠定坚实基础。渤海油田历经50余年开发，正面临“边、小、碎、深”挑战，技术难度大、经济门槛高。“十四五”时期，渤海油田确定了上产4000万吨目标，年均钻井量较“十三五”期间平均增加70%。据介绍，“新优快”钻完井创新工程将以垦利16-1油田为试点，该油田地质油藏条件复杂、经济效益边界，是“低边稠”油田典型代表。渤海油田成立了“新优快”试点项目工作专班，攻关三项技术体系，建立四项创新机制，深化提速、提质、提产和提效，以期实现钻完井工期节约100天、工程质量合格率100%、多贡献产量10万吨、节省费用1.5亿元“四个一”目标。记者了解到，渤海油田自开发以来，先后经历了两次优快钻完井。上世纪90年代初，优快钻井在岐口18-1油田初试身手，建井周期从57天缩短到18.8天，节省了2/3的时间。在绥中36-1油田二期开发中，平均井深1920米的定向井，最快的一口井建井周期仅1.6天。到2005年年底，渤海油田通过优快钻完井节约作业天数16000余天，作业效率是常规钻完井技术的2-4倍，钻完井工程质量全优，直接节省成本近百亿元，“一次优快”助力渤海油田实现上产3000万吨。随着勘探开发难度增加，成本不断提高，2012年初，以歧口18-1综合调整项目为契机，渤海油田开启了“二次优快”，钻完井作业效率提高30%。在随后的推广应用中，打破14项中国海油钻完井纪录，节约工期近半，为渤海油田3000万吨稳产十年夯实了基础。中国海油总经理李勇表示，目前，中国海油优快钻完井技术已跻身国际钻完井技术先进行列，并得到国内外钻完井同行高度认可。未来，渤海油田将在试点项目成功实施基础上，形成可复制可推广“新优快模式”，为我国海洋石油工业高质量发展贡献力量。(完),科技,中国渤海油田启动“新优快”钻完井创新工程
国家能源局局长章建华30日在国新办发布会上表示，我国可再生能源开发利用规模稳居世界第一，为能源绿色低碳转型提供强大支撑。截至2020年底，我国可再生能源发电装机总规模达到9.3亿千瓦，占总装机的比重达到42.4%，较2012年增长14.6个百分点。可再生能源利用水平持续提升，2020年，我国可再生能源发电量达到2.2万亿千瓦时，占全社会用电量的比重达到29.5%，较2012年增长9.5个百分点。(记者刘羊旸),科技,我国可再生能源开发利用规模稳居世界第一
从石头缝里“挤”出油 页岩油开发刷新两项国内纪录科技日报讯 （通讯员姜晶华 宋娜娜 记者朱彤）作为国内首个国家级页岩油示范区，中国石油新疆油田公司吉庆油田的吉木萨尔国家级陆相页岩油示范区近期在开展的首批自主产能井建设中，刷新两项国内页岩油水平井施工纪录。3月26日，新疆油田吉庆油田作业区党委书记、经理谢建勇透露，正在进行压裂作业的58号平台设计施工总用液量高达56万方，总石英砂量高达近6万方，每米加砂量刷新国内纪录，以国家级标准游泳池为例，56万方的用液量相当于220多个游泳池的蓄水量。另一个纪录是施工组织规模创国内之最——在同一个平台同时施工8口水平井，采用拉链式联动作业。这两项纪录将为今后页岩油市场化规模效益开发积累重要经验。页岩油是非常规油气资源，低渗透、流动性差，是最难开采的油之一。压裂是页岩油开采的一项有效手段，人们常形象地称这种开采方式为从石头缝里“挤”出油。肩负着建设国家级首个陆相页岩油示范区的吉庆油田，不仅要从石头缝里“挤”出油，还要将石头缝里的油“榨”干，其背后所采用的开发模式和生产组织方式将陆续刷新国内纪录，迈入世界先进水平。不久前，中国石油召开的2021年页岩油勘探开发推进会上明确了当前及今后一段时期重点工作。今年是吉庆油田开启自主化市场经营的第一年，吉庆油田将以科技攻关为发力点，优化开发模式和生产组织方式，努力闯出一条陆相页岩油创新发展之路，开创新疆油田页岩油发展新局面。,科技,从石头缝里“挤”出油 页岩油开发刷新两项国内纪录
中新社北京3月28日电 (刘亮)中国石化28日发布2020年度业绩报告。报告显示，中国石化净利润在全球主要的一体化石油石化企业中处于领先位置。公司实现营业收入2.11万亿元(人民币，下同)；股东应占利润331亿元。当日，中国石化还发布了2021年一季度业绩预盈公告，2021年一季度归属母公司股东的净利润预计为160亿元到180亿元，实现“开门红”。数据显示，勘探及开发方面，中国石化在塔里木盆地、四川盆地、渤海湾盆地取得一批油气新发现，天然气储量同比增长13.4%；天然气销量持续提高，市场占有率达16.8%，创历史新高。炼油方面，全年加工原油2.37亿吨，生产成品油1.42亿吨，化工轻油4022万吨，同比增长1.1%。此外，中国石化全年成品油总经销量2.18亿吨，其中境内成品油总经销量1.68亿吨。非油业务全年实现利润37.4亿元，同比增长15.6%。中国石化董事长张玉卓表示，未来中国石化将把氢能作为新能源业务的主要方向，努力打造中国第一大氢能公司。在“碳达峰、碳中和”的大背景下，公司将以净零排放为目标，推进化石能源洁净化、洁净能源规模化、生产过程低碳化。(完),科技,中国石化2020年盈利331亿元 领先全球同行
隆昌3月27日电 (杜成)27日，四川油气田“学百年党史 聚奋进力量”党史学习教育主题党日活动暨四川石油会战史馆开馆仪式在四川隆昌气矿举行，共同开启一段红色记忆，追忆老一辈川油人60余年的奋斗历程。据了解，正式揭牌开放的四川石油会战史馆面积达600多平方米，是在原炭黑厂老建筑旧址上重建起来的，在外观上大体还原了当年的建筑风貌，是一座集党史、油气工业、廉洁文化、精神教育等为一体的史馆。四川石油会战史馆大门。唐千惠 摄“四川油气工业发展历经60多年，先后经历了几次石油大会战，这个史馆生动还原了几次石油会战大场景，铭记这60余年四川油气工业发展的奋斗历程，展现‘艰苦奋斗、求实创新’的川油精神。”四川石油会战史馆相关负责人介绍说，该馆以“圣灯璀璨”四个字为主题，分为“气魄巴蜀”“气逾霄汉”“气势如虹”“大气之梦”四个篇章展示，承载着几代川油人的光荣与梦想。四川石油会战史馆序厅。唐千惠 摄“气魄巴蜀”篇章展现的是四川油气工业史上的两次大会战：川中石油大会战和红村石油大会战；“气逾霄汉”篇章展示的是四川油气藏的成藏情况，地层奥秘的逐步揭开，让四川天然气工业开发不断取得新的突破；“气势如虹”篇章展示的是四川页岩气勘探开发的“中国良方”和不断跨越；“大气之梦”篇章展现的是西南油气田坚定发展道路，完善治理体系，写下壮阔未来的崭新篇章。参观四川石油会战史馆。西南油气田 供图“今天举行这样的纪念活动，就是为了传承历史、铭记历史，保护珍藏这份油气工业文化遗产。”西南油气田党委书记、总经理张道伟表示，从1958年川中石油大会战迄今这60多年以来，川油人在开油找气的伟大实践中逐步形成、不断丰富“艰苦奋斗、求实创新”的川油精神，已经成为巴蜀大地高扬的精神旗帜和文化符号，也一直成为推动西南油气田砥砺前行的不竭动力。当天，主办方还举行了讲党课、重温入党誓词、参观纪念馆、百人百米书法长卷献礼等系列纪念活动。(完),科技,铭记四川石油工业六十余年奋战历程 四川石油会战史馆开馆
成都3月27日电 (刘忠俊 马宁果)记者27日从国网四川省电力公司特高压工程建设指挥部获悉，20台350吨重的雅中至江西±800千伏特高压直流输电工程换流站“心脏”——换流变压器已成功运抵施工现场。据了解，雅中送端换流站位于四川省凉山彝族自治州盐源县，海拔2468米。雅中换流变压器运输是国内迄今为止条件最复杂、难度最大的大件运输项目。运输途中的重350吨的换流变压器。安伟 摄道路上，运载第20台重达350吨“巨无霸”的重型车队，缓缓驶向雅中换流站，远远望去，蔚为壮观。这是四川省正在修建的第四条水电外送大通道，雅中至江西±800千伏特高压直流输电工程换流站“心脏”——换流变压器。目前已有20台换流变压器成功运抵施工现场。重达350吨换流变压器经渤海湾、黄海海路到达镇江，沿长江而上，经成昆铁路到达西昌火车站，最后通过汽车运输到达换流站，总里程5300余公里。运输队伍行进途中。安伟 摄然而，从西昌火车站到雅中换流站，需跨越雅砻江、磨盘山、海拔3188米的小高山、九道拐等地，陡坡急弯，桥隧众多，短短的139公里是运输行程中最难啃的“硬骨头”。为确保运输途中万无一失，5台600马力的重型卡车沿途护送。“蜀道真是难于上青天啊！”负责此段线路运送的副队长朱光平感叹称，这是自己从事大件运输20余年以来最困难的一次。“现在的路好多了。为了运输还专门建了一座承重550吨的大金河桥。”国网四川省电力公司特高压工程建设指挥部大件运输业主项目部经理任泽称，公司提前对西昌至换流站道路进行加固处理，改造或新建31座桥梁，加宽道路11处、新建34处停车场地。此外，国家电网投资建设的大金河桥可承重近600吨，是国内承重最大的特大型拱桥，不但能满足大件运输需求，还将对凉山彝族自治州矿产资源运输、旅游业发展和脱贫攻坚起到积极作用。第20台换流变压器成功运抵换流站。安伟 摄据悉，雅中至江西±800千伏特高压直流输电工程换流站共有28台换流变压器，计划2021年6月底之前投运，届时大凉山的水、风、光等清洁能源，将源源不断送往江西等华中地区。(完),科技,四川第四条特高压输电工程建设加速攻坚
乌海3月26日电 (记者 乌娅娜)“随着能源需求的增加，中国作为亚太地区第二大经济体，面临非常严峻的气候变化应对挑战。我们必须推进产业结构调整和能源结构调整，促进人类生产生活向着低碳、绿色转变。”26日，APEC可持续能源中心主任朱丽在2021零碳城市产业峰会上致辞说道。当天，以“推动能源革命，打造零碳城市，助力零碳中国”为主题的2021零碳城市产业峰会在内蒙古自治区乌海市召开，有关领域的专家学者共同探讨零碳城市的建设。图为韩爱兴发表主旨演讲。云梅 摄据悉，作为本次峰会的主办方之一，APEC可持续能源中心是亚太经合组织能源合作领域的研究机构，长期以来致力于能源低碳转型和城市可持续发展，推动亚太地区能源和区域发展，也协助国家能源局开展APEC区域的能源国际战略合作。面对零碳城市建设的探索，朱丽提出了意见：“建筑在整个碳排放当中占比重越来越大，碳排放的大户已经主要取决于建筑，我们有必要去推动建筑节能，用主动技术、被动技术混合的方式，让建筑朝着节能、低能耗、超低能耗、近零能耗甚至是产能建筑来去构建我们的零碳城市人居生活空间。”对此，国家住房和城乡建设部建筑节能与科学技术司副司长韩爱兴也表示，房屋建筑作为节能减排的主要领域，20多年来中国不断提高建筑能效标准，建筑技术和标准接近世界发达国家水平。图为会议现场。云梅 摄据韩爱兴介绍，目前中国节能建筑面积超过190亿平方米，绿色建筑发展取得显著进展。他同时坦言：“现实生活中人们对气候变化的认识和重视程度是远远不够的，本次论坛以‘零碳’为主题开展研讨，会进一步提高大家的认识水平和重视程度。”会上，嘉宾还就《低碳城市建设的对策和建议》《零碳城市解决方案的探索与实践》等议题进行了主旨演讲。会议的举办地乌海市也签署了《乌海市零碳能源战略合作协议》和《乌海市零碳示范社区战略合作协议》，将进一步探索零碳城市的建设。(完),科技,2021零碳城市产业峰会在内蒙古召开
石家庄3月26日电 (张帆 石静)据国家电网河北省电力公司26日称，近日，该公司发布了“推动能源低碳转型实现‘碳达峰、碳中和’实施方案”，从能源供给侧、消费侧等六个方面研究制定服务河北“碳达峰、碳中和”目标实现二十项举措，推动构建以新能源为主体的新型电力系统，促进能源供给多元化清洁化低碳化、能源消费高效化减量化电气化，为河北如期实现“碳达峰、碳中和”提供有力支撑。图为河北涞源县东团堡村光伏电站。翟文涛 摄据介绍，近年来，国家电网河北省电力公司持续加快电网高质量发展，加大技术创新，推动能源电力从高碳向低碳、从以化石能源为主向以清洁能源为主转变，加快形成绿色生产和消费方式。截至“十三五”末，该公司已建成特高压“两站三通道”，各电压等级电网协调发展，新能源装机1698万千瓦、年发电量170.6亿千瓦时，实现新能源“能并全并、全额消纳”；完成电能替代467.9亿千瓦时，相当于减少散烧煤2588万吨、减排二氧化碳4691万吨，电能占终端能源消费比重18.38%；建成智慧绿能云平台、CIEMS智慧能源管理系统、国内首个EIM电网数字化工程管理平台等一批重点科研示范工程，形成了一批以特高压智能运检、微电网和综合能源管控、火电厂减排与治理为代表的自主创新成果，推动能源向数字化、低碳化转型。值得注意的是，在服务雄安新区建设方面，国家电网河北省电力公司将打造雄安“碳达峰、碳中和”先行区及能源互联网示范区，着力推动形成近零碳样板，引入区外绿色电力，同步推进特高压和500千伏主网架建设，全面建设数字化主动电网，构建城市全场景互联家族化的CIEMS运营生态，建成绿色城市“碳达峰、碳中和”能源标准体系，形成多场景应用标准和全生态示范工程。(完),科技,河北电力发布“碳达峰、碳中和”实施方案
太原3月26日电 (杨静)记者26日从太原海关获悉，山西省2021年前2月出口太阳能电池872万个，比去年同期增加33.5%，货值3.8亿元(人民币，下同)，同比增长606.6%。太原海关工作人员介绍，2020年受新冠肺炎疫情影响，太阳能电池出口下降，大量订单推迟到2021年，因此今年前2月出口呈现恢复性增长，出口同比增长606.6%，实现了U型反转。作为中国重要的能源基地之一，近年来，煤省山西以外贸进出口为契机，探索转型发展新路径。昔日中国的“煤炭基地”，正在努力转身为“中国能源革命排头兵”。山西省太阳能制造企业普遍采用MES(生产过程执行管理系统)、ERP(企业资源计划管理系统)、设备自动化、生产可视化监控等智能化系统，产品质量稳定，转化效率高。山西潞安太阳能科技有限公司PERC电池量产转换效率达到22.8%以上，高效叠瓦组件功率达到500瓦。晋能清洁能源科技股份公司建成国内首条百兆瓦级别连续规模量产的高效异质结(HJT)电池产线，最高效率可超过24.7%，达到行业最高水平。数据显示，2021年前2月，山西省太阳能电池以一般贸易方式出口3.2亿元，同比增长569.8%，占同期太阳能电池出口总值的85%；以对外承包工程出口货物方式出口0.6亿元，同比增长925.6%。山西省太阳能电池主要出口印度、东盟、巴西、澳大利亚等地，其中，今年前2月对印度出口2.3亿元(去年同期没有出口)，占同期太阳能电池出口总值59.8%。太原海关表示，该关将持续优化营商环境，做好整体通关时间压缩、原产地证签发等工作，提高监管效能，释放政策红利，助推山西省以太阳能电池为代表的新能源产品逆势增长，不断开拓国际市场。(完),科技,山西前2月太阳能电池出口额增长6倍
